0	Time [s]	Pressure sensor 28 (NormX) [MPa]	Pressure sensor 28 (NormY) [MPa]	Pressure sensor 28 (NormZ) [MPa]	Pressure sensor 28 (ShearXY) [MPa]	Pressure sensor 28 (ShearYZ) [MPa]	Pressure sensor 28 (ShearXZ) [MPa]	Pressure sensor 28 (Equivalent (von-Mises)) [MPa]	Pressure sensor 28 (Maximum Principal) [MPa]	Pressure sensor 28 (Middle Principal) [MPa]	Pressure sensor 28 (Minimum Principal) [MPa]	Pressure sensor 28 (Intensity) [MPa] 
1	1,6667e-002	-2,4106e-004	-2,4103e-004	-2,51e-004	-7,324e-008	5,3702e-006	-1,808e-006	1,3983e-005	-2,3843e-004	-2,411e-004	-2,5356e-004	1,5126e-005 
2	3,3333e-002	-4,8857e-004	-4,885e-004	-5,0872e-004	-1,4894e-007	1,1497e-005	-2,5101e-006	2,8688e-005	-4,8305e-004	-4,8863e-004	-5,1411e-004	3,107e-005 
3	5,8333e-002	-8,5404e-004	-8,5391e-004	-8,8927e-004	-2,6167e-007	2,0938e-005	-8,2912e-006	5,2605e-005	-8,4283e-004	-8,5421e-004	-9,0019e-004	5,7361e-005 
4	9,5833e-002	-1,4039e-003	-1,4037e-003	-1,4618e-003	-4,3117e-007	3,43e-005	-1,3627e-005	8,6345e-005	-1,3855e-003	-1,4042e-003	-1,4797e-003	9,4135e-005 
5	0,15208	-2,2273e-003	-2,227e-003	-2,3193e-003	-6,894e-007	5,5884e-005	-2,3116e-005	1,395e-004	-2,1967e-003	-2,2278e-003	-2,3491e-003	1,5242e-004 
6	0,23646	-3,4602e-003	-3,4595e-003	-3,6031e-003	-1,0827e-006	8,7446e-005	-3,7002e-005	2,1809e-004	-3,4117e-003	-3,4609e-003	-3,6502e-003	2,3847e-004 
7	0,36302	-5,299e-003	-5,2978e-003	-5,5179e-003	-1,6846e-006	1,3615e-004	-5,8252e-005	3,3765e-004	-5,2225e-003	-5,3e-003	-5,5922e-003	3,6966e-004 
8	0,52969	-7,7236e-003	-7,7216e-003	-8,0431e-003	-2,504e-006	1,9712e-004	-8,3753e-005	4,9026e-004	-7,6134e-003	-7,7251e-003	-8,1498e-003	5,3648e-004 
9	0,69635	-1,0125e-002	-1,0122e-002	-1,0544e-002	-3,3542e-006	2,5948e-004	-1,1412e-004	6,4659e-004	-9,9778e-003	-1,0127e-002	-1,0686e-002	7,0804e-004 
10	0,86302	-1,2537e-002	-1,2533e-002	-1,3057e-002	-4,2271e-006	3,1025e-004	-1,4028e-004	7,874e-004	-1,2364e-002	-1,254e-002	-1,3224e-002	8,6058e-004 
11	1,	-1,4502e-002	-1,4497e-002	-1,5104e-002	-4,966e-006	3,5464e-004	-1,62e-004	9,0611e-004	-1,4304e-002	-1,4505e-002	-1,5294e-002	9,8971e-004 
