0	Time [s]	Pressure sensor 17 (NormX) [MPa]	Pressure sensor 17 (NormY) [MPa]	Pressure sensor 17 (NormZ) [MPa]	Pressure sensor 17 (ShearXY) [MPa]	Pressure sensor 17 (ShearYZ) [MPa]	Pressure sensor 17 (ShearXZ) [MPa]	Pressure sensor 17 (Equivalent (von-Mises)) [MPa]	Pressure sensor 17 (Maximum Principal) [MPa]	Pressure sensor 17 (Middle Principal) [MPa]	Pressure sensor 17 (Minimum Principal) [MPa]	Pressure sensor 17 (Intensity) [MPa] 
1	1,6667e-002	-1,2477e-006	-1,3451e-006	-1,2279e-006	-1,1454e-008	2,7799e-005	2,3636e-006	4,8324e-005	2,6613e-005	-1,2465e-006	-2,9187e-005	5,5799e-005 
2	3,3333e-002	-2,9865e-006	-3,1868e-006	-2,9703e-006	-2,0212e-008	5,7808e-005	4,653e-006	1,0045e-004	5,4916e-005	-2,9846e-006	-6,1075e-005	1,1599e-004 
3	5,8333e-002	-5,914e-006	-6,2549e-006	-5,9346e-006	-3,214e-008	1,0277e-004	8,1429e-006	1,7856e-004	9,6997e-005	-5,9111e-006	-1,0919e-004	2,0619e-004 
4	9,5833e-002	-1,0363e-005	-1,0888e-005	-1,0473e-005	-4,5442e-008	1,7177e-004	1,3472e-005	2,9842e-004	1,6161e-004	-1,0359e-005	-1,8298e-004	3,4459e-004 
5	0,15208	-1,807e-005	-1,8798e-005	-1,8449e-005	-5,4718e-008	2,7805e-004	2,1259e-005	4,83e-004	2,6023e-004	-1,8066e-005	-2,9748e-004	5,5771e-004 
6	0,23646	-3,1108e-005	-3,1957e-005	-3,2164e-005	-4,7103e-008	4,4222e-004	3,2726e-005	7,6804e-004	4,1137e-004	-3,1105e-005	-4,7549e-004	8,8686e-004 
7	0,36302	-5,2488e-005	-5,3063e-005	-5,5165e-005	1,313e-008	6,9973e-004	4,9837e-005	1,215e-003	6,4739e-004	-5,2493e-005	-7,5562e-004	1,403e-003 
8	0,48958	-7,5813e-005	-7,5472e-005	-8,0866e-005	1,274e-007	9,6152e-004	6,6118e-005	1,6693e-003	8,8564e-004	-7,5829e-005	-1,042e-003	1,9276e-003 
9	0,65625	-1,0585e-004	-1,033e-004	-1,1504e-004	3,5347e-007	1,3099e-003	8,6714e-005	2,2738e-003	1,2036e-003	-1,0588e-004	-1,4219e-003	2,6256e-003 
10	0,82292	-1,3865e-004	-1,3271e-004	-1,5331e-004	6,5797e-007	1,662e-003	1,0614e-004	2,8846e-003	1,5225e-003	-1,3871e-004	-1,8084e-003	3,3309e-003 
11	0,91146	-1,5683e-004	-1,4858e-004	-1,7497e-004	8,4837e-007	1,8528e-003	1,1547e-004	3,2154e-003	1,6947e-003	-1,569e-004	-2,0181e-003	3,7128e-003 
12	1,	-1,7457e-004	-1,6364e-004	-1,9656e-004	1,073e-006	2,0459e-003	1,2483e-004	3,5502e-003	1,8697e-003	-1,7466e-004	-2,2298e-003	4,0994e-003 
