0	Time [s]	Pressure sensor 8 (NormX) [MPa]	Pressure sensor 8 (NormY) [MPa]	Pressure sensor 8 (NormZ) [MPa]	Pressure sensor 8 (ShearXY) [MPa]	Pressure sensor 8 (ShearYZ) [MPa]	Pressure sensor 8 (ShearXZ) [MPa]	Pressure sensor 8 (Equivalent (von-Mises)) [MPa]	Pressure sensor 8 (Maximum Principal) [MPa]	Pressure sensor 8 (Middle Principal) [MPa]	Pressure sensor 8 (Minimum Principal) [MPa]	Pressure sensor 8 (Intensity) [MPa] 
1	1,6667e-002	-1,4456e-006	-1,4436e-006	-1,5068e-006	8,0446e-010	7,2542e-006	-8,881e-007	1,2659e-005	5,8331e-006	-1,4454e-006	-8,7838e-006	1,4617e-005 
2	3,3333e-002	-2,9192e-006	-2,9147e-006	-3,0435e-006	1,5874e-009	1,4725e-005	-1,7763e-006	2,569e-005	1,1853e-005	-2,9188e-006	-1,7811e-005	2,9664e-005 
3	5,8333e-002	-5,0979e-006	-5,0885e-006	-5,3163e-006	2,6028e-009	2,5742e-005	-3,1133e-006	4,4911e-005	2,0727e-005	-5,0971e-006	-3,1132e-005	5,1859e-005 
4	9,5833e-002	-8,3351e-006	-8,3165e-006	-8,6958e-006	3,8428e-009	4,2075e-005	-5,0872e-006	7,3407e-005	3,3875e-005	-8,3339e-006	-5,0888e-005	8,4763e-005 
5	0,15208	-1,32e-005	-1,3162e-005	-1,378e-005	5,1283e-009	6,6765e-005	-8,059e-006	1,1648e-004	5,3779e-005	-1,3198e-005	-8,0722e-005	1,345e-004 
6	0,23646	-2,0457e-005	-2,0379e-005	-2,1376e-005	5,6422e-009	1,0363e-004	-1,2532e-005	1,8081e-004	8,351e-005	-2,0455e-005	-1,2527e-004	2,0878e-004 
7	0,36302	-3,1259e-005	-3,1097e-005	-3,2708e-005	3,5899e-009	1,5871e-004	-1,9091e-005	2,7688e-004	1,2795e-004	-3,1256e-005	-1,9176e-004	3,1971e-004 
8	0,52969	-4,5302e-005	-4,4985e-005	-4,7488e-005	-4,6685e-009	2,3045e-004	-2,7697e-005	4,0204e-004	1,8588e-004	-4,5298e-005	-2,7835e-004	4,6423e-004 
9	0,69635	-5,9229e-005	-5,8706e-005	-6,2199e-005	-1,8522e-008	3,02e-004	-3,6123e-005	5,2683e-004	2,4371e-004	-5,9226e-005	-3,6462e-004	6,0833e-004 
10	0,86302	-7,2965e-005	-7,2189e-005	-7,6762e-005	-3,8411e-008	3,7279e-004	-4,4551e-005	6,5029e-004	3,0097e-004	-7,2963e-005	-4,4992e-004	7,5089e-004 
11	1,	-8,415e-005	-8,3131e-005	-8,8658e-005	-5,8837e-008	4,3053e-004	-5,1377e-005	7,5101e-004	3,477e-004	-8,415e-005	-5,1949e-004	8,6719e-004 
