0	Time [s]	Pressure sensor 45 (NormX) [MPa]	Pressure sensor 45 (NormY) [MPa]	Pressure sensor 45 (NormZ) [MPa]	Pressure sensor 45 (ShearXY) [MPa]	Pressure sensor 45 (ShearYZ) [MPa]	Pressure sensor 45 (ShearXZ) [MPa]	Pressure sensor 45 (Equivalent (von-Mises)) [MPa]	Pressure sensor 45 (Maximum Principal) [MPa]	Pressure sensor 45 (Middle Principal) [MPa]	Pressure sensor 45 (Minimum Principal) [MPa]	Pressure sensor 45 (Intensity) [MPa] 
1	1,6667e-002	-3,3836e-007	-3,3836e-007	-3,5218e-007	-1,672e-012	-9,9662e-007	3,34e-007	1,8206e-006	7,0586e-007	-3,3836e-007	-1,3964e-006	2,1022e-006 
2	3,3333e-002	-6,8036e-007	-6,8034e-007	-7,0815e-007	-6,7643e-012	-2,0047e-006	6,7177e-007	3,6622e-006	1,4201e-006	-6,8036e-007	-2,8086e-006	4,2287e-006 
3	5,8333e-002	-1,1913e-006	-1,1913e-006	-1,24e-006	-2,0753e-011	-3,51e-006	1,1772e-006	6,4125e-006	2,4866e-006	-1,1913e-006	-4,9179e-006	7,4044e-006 
4	9,5833e-002	-1,9541e-006	-1,9539e-006	-2,034e-006	-5,5735e-011	-5,7597e-006	1,9266e-006	1,052e-005	4,0795e-006	-1,9541e-006	-8,0675e-006	1,2147e-005 
5	0,15208	-3,1021e-006	-3,1017e-006	-3,2292e-006	-1,4067e-010	-9,1421e-006	3,0635e-006	1,67e-005	6,4765e-006	-3,1021e-006	-1,2807e-005	1,9284e-005 
6	0,23646	-4,8194e-006	-4,8186e-006	-5,0174e-006	-3,3884e-010	-1,4211e-005	4,7471e-006	2,5952e-005	1,0065e-005	-4,8196e-006	-1,9901e-005	2,9966e-005 
7	0,36302	-7,379e-006	-7,3769e-006	-7,683e-006	-7,962e-010	-2,1753e-005	7,2875e-006	3,9736e-005	1,5412e-005	-7,3792e-006	-3,0471e-005	4,5883e-005 
8	0,52969	-1,0757e-005	-1,0753e-005	-1,1202e-005	-1,6888e-009	-3,173e-005	1,0596e-005	5,7942e-005	2,2476e-005	-1,0758e-005	-4,443e-005	6,6906e-005 
9	0,69635	-1,4081e-005	-1,4073e-005	-1,4666e-005	-2,8942e-009	-4,1544e-005	1,387e-005	7,5862e-005	2,9429e-005	-1,4082e-005	-5,8168e-005	8,7598e-005 
10	0,86302	-1,7237e-005	-1,7226e-005	-1,7957e-005	-4,3377e-009	-5,0858e-005	1,698e-005	9,2871e-005	3,6028e-005	-1,7239e-005	-7,1209e-005	1,0724e-004 
11	1,	-1,994e-005	-1,9924e-005	-2,0775e-005	-5,8017e-009	-5,8841e-005	1,963e-005	1,0744e-004	4,1682e-005	-1,9942e-005	-8,2379e-005	1,2406e-004 
