0	Time [s]	Pressure sensor 2 (NormX) [MPa]	Pressure sensor 2 (NormY) [MPa]	Pressure sensor 2 (NormZ) [MPa]	Pressure sensor 2 (ShearXY) [MPa]	Pressure sensor 2 (ShearYZ) [MPa]	Pressure sensor 2 (ShearXZ) [MPa]	Pressure sensor 2 (Equivalent (von-Mises)) [MPa]	Pressure sensor 2 (Maximum Principal) [MPa]	Pressure sensor 2 (Middle Principal) [MPa]	Pressure sensor 2 (Minimum Principal) [MPa]	Pressure sensor 2 (Intensity) [MPa] 
1	1,6667e-002	-7,1844e-007	-7,2118e-007	-7,4861e-007	1,311e-010	2,8009e-006	-6,3555e-007	4,9747e-006	2,1373e-006	-7,1851e-007	-3,607e-006	5,7443e-006 
2	3,3333e-002	-1,4485e-006	-1,454e-006	-1,5094e-006	2,4683e-010	5,651e-006	-1,2801e-006	1,0036e-005	4,3126e-006	-1,4487e-006	-7,2758e-006	1,1588e-005 
3	5,8333e-002	-2,5331e-006	-2,5424e-006	-2,6398e-006	3,8466e-010	9,8843e-006	-2,2342e-006	1,7552e-005	7,5428e-006	-2,5334e-006	-1,2725e-005	2,0267e-005 
4	9,5833e-002	-4,1701e-006	-4,185e-006	-4,3464e-006	5,165e-010	1,6271e-005	-3,6802e-006	2,8895e-005	1,2417e-005	-4,1706e-006	-2,0948e-005	3,3365e-005 
5	0,15208	-6,6004e-006	-6,6228e-006	-6,8808e-006	5,4524e-010	2,5757e-005	-5,8188e-006	4,5737e-005	1,9655e-005	-6,6013e-006	-3,3158e-005	5,2813e-005 
6	0,23646	-1,0255e-005	-1,0287e-005	-1,0694e-005	2,0658e-010	4,0009e-005	-9,0471e-006	7,1049e-005	3,053e-005	-1,0256e-005	-5,151e-005	8,204e-005 
7	0,36302	-1,5694e-005	-1,5737e-005	-1,6372e-005	-1,1205e-009	6,1236e-005	-1,3812e-005	1,0873e-004	4,6722e-005	-1,5696e-005	-7,8829e-005	1,2555e-004 
8	0,52969	-2,2867e-005	-2,2918e-005	-2,3869e-005	-4,4085e-009	8,9229e-005	-2,0115e-005	1,5843e-004	6,8078e-005	-2,2871e-005	-1,1486e-004	1,8294e-004 
9	0,69635	-2,9961e-005	-3,0012e-005	-3,1292e-005	-9,397e-009	1,1692e-004	-2,6366e-005	2,0759e-004	8,9205e-005	-2,9967e-005	-1,505e-004	2,3971e-004 
10	0,86302	-3,7021e-005	-3,7066e-005	-3,8688e-005	-1,6013e-008	1,4447e-004	-3,2544e-005	2,565e-004	1,1022e-004	-3,703e-005	-1,8596e-004	2,9618e-004 
11	1,	-4,279e-005	-4,2823e-005	-4,4737e-005	-2,2698e-008	1,6698e-004	-3,7617e-005	2,9647e-004	1,2739e-004	-4,2801e-005	-2,1494e-004	3,4233e-004 
