0	Time [s]	Pressure sensor 25 (NormX) [MPa]	Pressure sensor 25 (NormY) [MPa]	Pressure sensor 25 (NormZ) [MPa]	Pressure sensor 25 (ShearXY) [MPa]	Pressure sensor 25 (ShearYZ) [MPa]	Pressure sensor 25 (ShearXZ) [MPa]	Pressure sensor 25 (Equivalent (von-Mises)) [MPa]	Pressure sensor 25 (Maximum Principal) [MPa]	Pressure sensor 25 (Middle Principal) [MPa]	Pressure sensor 25 (Minimum Principal) [MPa]	Pressure sensor 25 (Intensity) [MPa] 
1	1,6667e-002	-1,4064e-006	-1,3871e-006	-1,4258e-006	6,4962e-009	1,5276e-006	9,5679e-006	1,6782e-005	8,2742e-006	-1,3896e-006	-1,1104e-005	1,9378e-005 
2	3,3333e-002	-2,804e-006	-2,7652e-006	-2,8421e-006	1,3519e-008	2,978e-006	1,9497e-005	3,4162e-005	1,6903e-005	-2,7701e-006	-2,2544e-005	3,9447e-005 
3	5,8333e-002	-4,7924e-006	-4,7256e-006	-4,8569e-006	2,4246e-008	5,2148e-006	3,4239e-005	5,9988e-005	2,9814e-005	-4,7343e-006	-3,9454e-005	6,9268e-005 
4	9,5833e-002	-7,8007e-006	-7,6953e-006	-7,9133e-006	4,1513e-008	8,4203e-006	5,6647e-005	9,9193e-005	4,9419e-005	-7,7097e-006	-6,5119e-005	1,1454e-004 
5	0,15208	-1,2159e-005	-1,2003e-005	-1,2354e-005	6,8874e-008	1,3397e-005	9,0259e-005	1,5805e-004	7,9003e-005	-1,2027e-005	-1,0349e-004	1,8249e-004 
6	0,23646	-1,8492e-005	-1,8281e-005	-1,8843e-005	1,1377e-007	2,057e-005	1,4111e-004	2,47e-004	1,2395e-004	-1,8318e-005	-1,6125e-004	2,8521e-004 
7	0,36302	-2,7713e-005	-2,7462e-005	-2,8378e-005	1,9017e-007	3,1952e-005	2,1878e-004	3,8296e-004	1,9308e-004	-2,7521e-005	-2,4912e-004	4,422e-004 
8	0,52969	-3,8401e-005	-3,818e-005	-3,9599e-005	2,9993e-007	4,4951e-005	3,1703e-004	5,546e-004	2,8124e-004	-3,8268e-005	-3,5915e-004	6,4039e-004 
9	0,69635	-4,8972e-005	-4,8882e-005	-5,0903e-005	4,2893e-007	5,8873e-005	4,1903e-004	7,3292e-004	3,7327e-004	-4,9002e-005	-4,7303e-004	8,463e-004 
10	0,86302	-5,8815e-005	-5,8953e-005	-6,1658e-005	5,6931e-007	7,2181e-005	5,197e-004	9,0879e-004	4,6453e-004	-5,9106e-005	-5,8485e-004	1,0494e-003 
11	1,	-6,7039e-005	-6,7448e-005	-7,0807e-005	6,9835e-007	8,322e-005	6,0443e-004	1,0568e-003	5,413e-004	-6,7629e-005	-6,7897e-004	1,2203e-003 
