0	Time [s]	Pressure sensor 24 (NormX) [MPa]	Pressure sensor 24 (NormY) [MPa]	Pressure sensor 24 (NormZ) [MPa]	Pressure sensor 24 (ShearXY) [MPa]	Pressure sensor 24 (ShearYZ) [MPa]	Pressure sensor 24 (ShearXZ) [MPa]	Pressure sensor 24 (Equivalent (von-Mises)) [MPa]	Pressure sensor 24 (Maximum Principal) [MPa]	Pressure sensor 24 (Middle Principal) [MPa]	Pressure sensor 24 (Minimum Principal) [MPa]	Pressure sensor 24 (Intensity) [MPa] 
1	5,8333e-003	8,132e-007	8,1349e-007	8,5036e-007	6,6215e-010	6,4584e-008	1,0569e-005	1,8307e-005	1,1401e-005	8,1348e-007	-9,7376e-006	2,1139e-005 
2	1,1667e-002	1,7741e-006	1,7738e-006	1,8535e-006	1,1253e-009	4,3759e-008	2,2089e-005	3,8259e-005	2,3903e-005	1,7738e-006	-2,0275e-005	4,4178e-005 
3	2,0417e-002	3,1274e-006	3,1235e-006	3,2614e-006	1,4956e-009	2,021e-007	3,8557e-005	6,6785e-005	4,1752e-005	3,1235e-006	-3,5364e-005	7,7116e-005 
4	3,3542e-002	5,2183e-006	5,2034e-006	5,4277e-006	1,6571e-009	3,7646e-007	6,3304e-005	1,0965e-004	6,8628e-005	5,2034e-006	-5,7982e-005	1,2661e-004 
5	5,3229e-002	8,5267e-006	8,4848e-006	8,8348e-006	1,0179e-009	5,6872e-007	1,0025e-004	1,7365e-004	1,0894e-004	8,4848e-006	-9,1576e-005	2,0051e-004 
6	8,276e-002	1,3547e-005	1,3438e-005	1,3954e-005	-1,7679e-010	8,6043e-007	1,5614e-004	2,7044e-004	1,6989e-004	1,3438e-005	-1,4239e-004	3,1228e-004 
7	0,12706	2,1715e-005	2,1448e-005	2,2188e-005	-4,535e-009	6,5391e-007	2,3887e-004	4,1373e-004	2,6082e-004	2,1448e-005	-2,1691e-004	4,7773e-004 
8	0,1935	3,4499e-005	3,3868e-005	3,4838e-005	-1,2173e-008	1,2174e-006	3,626e-004	6,2804e-004	3,9727e-004	3,3868e-005	-3,2793e-004	7,252e-004 
9	0,29317	5,6295e-005	5,484e-005	5,5993e-005	-3,2168e-008	1,7591e-006	5,4595e-004	9,4562e-004	6,021e-004	5,484e-005	-4,8981e-004	1,0919e-003 
10	0,39284	7,9581e-005	7,696e-005	7,8024e-005	-5,533e-008	2,4683e-006	7,2951e-004	1,2636e-003	8,0832e-004	7,696e-005	-6,5072e-004	1,459e-003 
11	0,54234	1,1867e-004	1,1374e-004	1,1426e-004	-9,1453e-008	3,2596e-006	9,9582e-004	1,7248e-003	1,1123e-003	1,1374e-004	-8,7937e-004	1,9917e-003 
12	0,70901	1,6204e-004	1,5361e-004	1,5257e-004	-1,3604e-007	4,0535e-006	1,3024e-003	2,2558e-003	1,4597e-003	1,5361e-004	-1,1451e-003	2,6048e-003 
13	0,87567	2,1025e-004	1,9749e-004	1,9425e-004	-1,5288e-007	8,8619e-006	1,601e-003	2,7731e-003	1,8033e-003	1,9749e-004	-1,3988e-003	3,2021e-003 
14	1,	2,4723e-004	2,3061e-004	2,2513e-004	-1,6027e-007	1,2544e-005	1,8264e-003	3,1635e-003	2,0626e-003	2,3061e-004	-1,5903e-003	3,6529e-003 
