Node Number	Normal Stress (MPa)
53033	-1,7976e-003
53034	-2,7533e-003
53035	-1,7481e-003
53036	-2,9382e-003
53037	-2,04e-003
53038	-1,9874e-003
53039	-3,5969e-003
53040	-2,7631e-003
53041	-3,0938e-003
53042	-4,7157e-003
53043	-3,4031e-003
53044	-3,6463e-003
53045	-5,513e-003
53046	-3,6925e-003
53047	-3,7057e-003
53048	-7,2665e-003
53049	-5,4868e-003
53050	-7,7871e-003
53051	-6,7978e-003
53052	-6,6336e-003
53053	-9,6784e-003
53054	-7,0349e-003
53055	-9,1465e-003
53056	-7,4195e-003
53057	-1,4931e-002
53058	-1,1022e-002
53059	-1,0375e-002
53060	-1,858e-002
53061	-1,402e-002
53062	-1,9231e-002
53063	-1,6783e-002
53064	-1,7413e-002
53065	-2,4503e-002
53066	-1,6473e-002
53067	-1,5958e-002
53068	-2,6629e-002
53069	-2,1176e-002
53070	-1,8709e-002
53071	-2,9597e-002
53072	-2,4511e-002
53073	-3,5775e-002
53074	-2,4095e-002
53075	-4,2229e-002
53076	-3,1901e-002
53077	-3,0174e-002
53078	-4,3503e-002
53079	-2,8352e-002
53080	-5,7289e-002
53081	-4,4e-002
53082	-4,4788e-002
53083	-5,5234e-002
53084	-4,1275e-002
53085	-3,9133e-002
53086	-4,7178e-002
53087	-3,2442e-002
53088	-5,8904e-002
53089	-4,3863e-002
53090	-4,5557e-002
53091	-3,3827e-002
53092	-6,1587e-002
53093	-3,1708e-002
53094	-4,9185e-002
53095	-2,9968e-002
53096	-4,1025e-002
53097	-2,8467e-002
53098	-2,9881e-002
53099	-4,3706e-002
53100	-2,7052e-002
53101	-2,5916e-002
53102	-3,6583e-002
53103	-2,0443e-002
53104	-2,2128e-002
53105	-1,5707e-002
53106	-2,2332e-002
53107	-1,5175e-002
53108	-2,0619e-002
53109	-1,5035e-002
53110	-1,9161e-002
53111	-1,3998e-002
53112	-1,8421e-002
53113	-1,3528e-002
53114	-9,5688e-003
53115	-1,5884e-002
53116	-9,4593e-003
53117	-1,2883e-002
53118	-7,6672e-003
53119	-1,2958e-002
53120	-9,2211e-003
53121	-9,4973e-003
53122	-7,4211e-003
53123	-9,129e-003
53124	-9,6675e-003
53125	-8,0191e-003
53126	-1,1243e-002
53127	-8,4704e-003
53376	-7,3927e-003
53377	-1,7731e-004
53378	-3,8923e-005
53379	-1,2452e-002
53380	-1,1926e-002
53381	-1,157e-002
53382	-1,1343e-002
53383	-5,8932e-003
53384	-4,8244e-003
53385	-7,0258e-004
53386	-2,7371e-005
53387	-6,6919e-005
53388	-6,8269e-003
53389	-7,9215e-003
53390	-6,0828e-005
53391	-1,2189e-002
53392	-1,2138e-002
