Node Number	Normal Stress (MPa)
52587	-1,7929e-002
52588	-1,3972e-002
52589	-1,339e-002
52590	-2,5797e-002
52591	-1,6985e-002
52592	-1,5013e-002
52593	-2,6872e-002
52594	-1,8573e-002
52595	-3,2774e-002
52596	-3,0542e-002
52597	-2,2824e-002
52598	-3,7634e-002
52599	-2,4845e-002
52600	-2,5398e-002
52601	-4,0131e-002
52602	-2,8972e-002
52603	-4,5043e-002
52604	-3,5367e-002
52605	-3,5862e-002
52606	-5,3346e-002
52607	-3,5492e-002
52608	-3,7278e-002
52609	-5,4455e-002
52610	-3,4686e-002
52611	-6,7141e-002
52612	-4,5782e-002
52613	-6,3538e-002
52614	-3,3634e-002
52615	-6,2794e-002
52616	-4,5276e-002
52617	-7,2568e-002
52618	-4,2553e-002
52619	-5,8718e-002
52620	-3,5954e-002
52621	-3,619e-002
52622	-5,4313e-002
52623	-3,6381e-002
52624	-3,9944e-002
52625	-4,7102e-002
52626	-3,3441e-002
52627	-4,4345e-002
52628	-2,6377e-002
52629	-2,3904e-002
52630	-4,3125e-002
52631	-2,8623e-002
52632	-3,3659e-002
52633	-2,0281e-002
52634	-3,0906e-002
52635	-2,2816e-002
52636	-2,8224e-002
52637	-1,7446e-002
52638	-2,5941e-002
52639	-1,3929e-002
52640	-2,0551e-002
52641	-1,3829e-002
52642	-1,2906e-002
52643	-1,3978e-002
52644	-9,8942e-003
52645	-7,1737e-003
52646	-1,4621e-002
52647	-1,1198e-002
52648	-7,5661e-003
52649	-7,6629e-003
52650	-9,6932e-003
52651	-5,0807e-003
52652	-7,4429e-003
52653	-5,0889e-003
52654	-6,7465e-003
52655	-4,0081e-003
52656	-5,8517e-003
52657	-3,5239e-003
52658	-3,1857e-003
52659	-4,7786e-003
52660	-2,9858e-003
52661	-3,0511e-003
52662	-3,9334e-003
52663	-2,0581e-003
52664	-2,2948e-003
52665	-3,4444e-003
52666	-1,7263e-003
52667	-2,7261e-003
52668	-1,7521e-003
52669	-2,6698e-003
52670	-1,8079e-003
52671	-2,5636e-003
52672	-1,6919e-003
52673	-1,8257e-003
52674	-2,5212e-003
52675	-1,7065e-003
52676	-2,0479e-003
52677	-2,0472e-003
52678	-1,5203e-003
52679	-8,9345e-004
52680	-1,3503e-003
52681	-1,8845e-003
52929	-5,3463e-004
52930	-6,1183e-003
52931	-1,1663e-002
52932	-7,0144e-003
52933	-6,6011e-003
52934	-2,4737e-005
52935	2,0338e-005
52936	-7,8633e-003
52937	-8,9271e-003
52938	-1,3034e-002
52939	-8,7086e-003
52940	-6,4943e-003
52941	-5,569e-005
52942	2,0754e-005
52943	-1,3529e-003
52944	-6,9598e-003
52945	-6,4517e-003
52946	-4,2446e-003
52947	-1,9331e-003
52948	-1,1841e-002
52949	-6,0691e-004
52950	-3,5896e-004
52951	-9,6481e-003
52952	-6,7862e-005
52953	-1,0316e-002
52954	-9,5819e-003
52955	-8,4597e-004
52956	-7,9496e-004
52957	-7,8588e-003
52958	-2,4166e-003
52959	-5,9464e-003
52960	-1,0089e-002
52961	-6,3869e-003
52962	-5,6948e-003
52963	-1,1346e-004
52964	3,5475e-006
52965	-1,0296e-002
52966	-8,0941e-003
52967	-7,2598e-003
52968	-9,159e-004
52969	-3,4336e-003
52970	-1,0937e-002
52971	-1,2329e-004
52972	-1,5804e-003
52973	-1,7848e-003
52974	-1,9083e-003
52975	-4,476e-004
52976	-8,1299e-003
52977	-1,0086e-002
