0	Time [s]	Pressure sensor 42 (NormX) [MPa]	Pressure sensor 42 (NormY) [MPa]	Pressure sensor 42 (NormZ) [MPa]	Pressure sensor 42 (ShearXY) [MPa]	Pressure sensor 42 (ShearYZ) [MPa]	Pressure sensor 42 (ShearXZ) [MPa]	Pressure sensor 42 (Equivalent (von-Mises)) [MPa]	Pressure sensor 42 (Maximum Principal) [MPa]	Pressure sensor 42 (Middle Principal) [MPa]	Pressure sensor 42 (Minimum Principal) [MPa]	Pressure sensor 42 (Intensity) [MPa] 
1	1,6667e-002	-8,511e-007	-8,5763e-007	-8,5774e-007	1,3008e-010	-1,0162e-005	-3,8249e-006	1,8807e-005	1,0001e-005	-8,52e-007	-1,1716e-005	2,1717e-005 
2	3,3333e-002	-1,7045e-006	-1,7167e-006	-1,7188e-006	6,9332e-010	-2,0468e-005	-7,6966e-006	3,7875e-005	2,015e-005	-1,7064e-006	-2,3584e-005	4,3734e-005 
3	5,8333e-002	-2,9854e-006	-3,0043e-006	-3,0141e-006	2,2361e-009	-3,5862e-005	-1,3459e-005	6,6346e-005	3,5298e-005	-2,9892e-006	-4,1312e-005	7,661e-005 
4	9,5833e-002	-4,8328e-006	-4,8578e-006	-4,8866e-006	6,2904e-009	-5,8578e-005	-2,1992e-005	1,0838e-004	5,7702e-005	-4,84e-006	-6,7439e-005	1,2514e-004 
5	0,15208	-7,6199e-006	-7,6453e-006	-7,7235e-006	1,6102e-008	-9,3084e-005	-3,4892e-005	1,7218e-004	9,1731e-005	-7,6336e-006	-1,0709e-004	1,9882e-004 
6	0,23646	-1,1724e-005	-1,1731e-005	-1,1929e-005	3,8997e-008	-1,4411e-004	-5,404e-005	2,6657e-004	1,4209e-004	-1,175e-005	-1,6572e-004	3,0781e-004 
7	0,36302	-1,7775e-005	-1,7712e-005	-1,8192e-005	9,1843e-008	-2,2047e-004	-8,2642e-005	4,0782e-004	2,1753e-004	-1,7828e-005	-2,5338e-004	4,7091e-004 
8	0,52969	-2,5472e-005	-2,5239e-005	-2,6271e-005	1,9414e-007	-3,2022e-004	-1,1997e-004	5,9228e-004	3,1625e-004	-2,5571e-005	-3,6766e-004	6,839e-004 
9	0,69635	-3,282e-005	-3,2336e-005	-3,4113e-005	3,3227e-007	-4,1838e-004	-1,5664e-004	7,7377e-004	4,1359e-004	-3,2979e-005	-4,7988e-004	8,9348e-004 
10	0,86302	-4,0047e-005	-3,9229e-005	-4,195e-005	5,0496e-007	-5,1552e-004	-1,9304e-004	9,5347e-004	5,1001e-004	-4,0278e-005	-5,9096e-004	1,101e-003 
11	1,	-4,5963e-005	-4,4808e-005	-4,8461e-005	6,7487e-007	-5,9599e-004	-2,2315e-004	1,1023e-003	5,8992e-004	-4,6264e-005	-6,8289e-004	1,2728e-003 
