0	Time [s]	Pressure sensor 35 (NormX) [MPa]	Pressure sensor 35 (NormY) [MPa]	Pressure sensor 35 (NormZ) [MPa]	Pressure sensor 35 (ShearXY) [MPa]	Pressure sensor 35 (ShearYZ) [MPa]	Pressure sensor 35 (ShearXZ) [MPa]	Pressure sensor 35 (Equivalent (von-Mises)) [MPa]	Pressure sensor 35 (Maximum Principal) [MPa]	Pressure sensor 35 (Middle Principal) [MPa]	Pressure sensor 35 (Minimum Principal) [MPa]	Pressure sensor 35 (Intensity) [MPa] 
1	1,6667e-002	-1,7243e-005	-1,7295e-005	-1,739e-005	1,3739e-007	-6,1071e-005	5,3752e-005	1,4091e-004	6,3958e-005	-1,7129e-005	-9,8756e-005	1,6271e-004 
2	3,3333e-002	-3,4846e-005	-3,4945e-005	-3,5236e-005	2,4744e-007	-1,2341e-004	1,0866e-004	2,848e-004	1,2924e-004	-3,4644e-005	-1,9962e-004	3,2885e-004 
3	5,8333e-002	-6,1276e-005	-6,144e-005	-6,222e-005	3,4887e-007	-2,162e-004	1,8984e-004	4,9834e-004	2,2575e-004	-6,1002e-005	-3,4968e-004	5,7543e-004 
4	9,5833e-002	-9,9449e-005	-9,9658e-005	-1,0153e-004	3,7727e-007	-3,5364e-004	3,1147e-004	8,1622e-004	3,7051e-004	-9,9166e-005	-5,7198e-004	9,4249e-004 
5	0,15208	-1,5625e-004	-1,5646e-004	-1,6088e-004	1,2534e-007	-5,6007e-004	4,9379e-004	1,2933e-003	5,8798e-004	-1,5622e-004	-9,0536e-004	1,4933e-003 
6	0,23646	-2,3921e-004	-2,393e-004	-2,495e-004	-9,0132e-007	-8,685e-004	7,6616e-004	2,006e-003	9,1422e-004	-2,4014e-004	-1,4021e-003	2,3163e-003 
7	0,36302	-3,6106e-004	-3,6061e-004	-3,8403e-004	-3,8976e-006	-1,3305e-003	1,1752e-003	3,0748e-003	1,4047e-003	-3,6473e-004	-2,1457e-003	3,5505e-003 
8	0,52969	-5,1219e-004	-5,1047e-004	-5,5912e-004	-1,0426e-005	-1,9318e-003	1,7081e-003	4,4667e-003	2,0488e-003	-5,2178e-004	-3,1088e-003	5,1577e-003 
9	0,69635	-6,5738e-004	-6,5374e-004	-7,3681e-004	-1,9926e-005	-2,5322e-003	2,2418e-003	5,8584e-003	2,6961e-003	-6,7556e-004	-4,0685e-003	6,7646e-003 
10	0,86302	-7,9323e-004	-7,8704e-004	-9,1326e-004	-3,2307e-005	-3,1291e-003	2,7711e-003	7,2408e-003	3,345e-003	-8,2258e-004	-5,0159e-003	8,3609e-003 
11	1,	-9,0234e-004	-8,9362e-004	-1,0621e-003	-4,4671e-005	-3,6183e-003	3,207e-003	8,3764e-003	3,8785e-003	-9,4285e-004	-5,7938e-003	9,6723e-003 
