0	Time [s]	Pressure sensor 4 (NormX) [MPa]	Pressure sensor 4 (NormY) [MPa]	Pressure sensor 4 (NormZ) [MPa]	Pressure sensor 4 (ShearXY) [MPa]	Pressure sensor 4 (ShearYZ) [MPa]	Pressure sensor 4 (ShearXZ) [MPa]	Pressure sensor 4 (Equivalent (von-Mises)) [MPa]	Pressure sensor 4 (Maximum Principal) [MPa]	Pressure sensor 4 (Middle Principal) [MPa]	Pressure sensor 4 (Minimum Principal) [MPa]	Pressure sensor 4 (Intensity) [MPa] 
1	1,6667e-002	-1,1254e-006	-1,1383e-006	-1,1636e-006	-2,3383e-009	1,3646e-005	2,0706e-006	2,3906e-005	1,2651e-005	-1,125e-006	-1,4953e-005	2,7604e-005 
2	3,3333e-002	-2,2717e-006	-2,2957e-006	-2,3508e-006	-4,3939e-009	2,7468e-005	4,1727e-006	4,8123e-005	2,546e-005	-2,2709e-006	-3,0107e-005	5,5567e-005 
3	5,8333e-002	-3,9321e-006	-3,9693e-006	-4,0742e-006	-6,9649e-009	4,7939e-005	7,3281e-006	8,3997e-005	4,4474e-005	-3,9309e-006	-5,2518e-005	9,6992e-005 
4	9,5833e-002	-6,4347e-006	-6,4838e-006	-6,6799e-006	-9,5745e-009	7,8757e-005	1,2056e-005	1,38e-004	7,3091e-005	-6,4329e-006	-8,6257e-005	1,5935e-004 
5	0,15208	-1,0113e-005	-1,0162e-005	-1,0528e-005	-1,0705e-008	1,2457e-004	1,9089e-005	2,1828e-004	1,1568e-004	-1,0111e-005	-1,3637e-004	2,5205e-004 
6	0,23646	-1,5432e-005	-1,5443e-005	-1,6137e-005	-6,2839e-009	1,9299e-004	2,9605e-005	3,3818e-004	1,7946e-004	-1,5431e-005	-2,1104e-004	3,905e-004 
7	0,36302	-2,3166e-005	-2,3035e-005	-2,4384e-005	1,3879e-008	2,9404e-004	4,523e-005	5,1529e-004	2,7379e-004	-2,3168e-005	-3,2121e-004	5,9501e-004 
8	0,52969	-3,3178e-005	-3,2704e-005	-3,5233e-005	6,4817e-008	4,2785e-004	6,579e-005	7,4977e-004	3,9892e-004	-3,3187e-005	-4,6684e-004	8,6576e-004 
9	0,69635	-4,2314e-005	-4,1337e-005	-4,5341e-005	1,4184e-007	5,577e-004	8,6006e-005	9,774e-004	5,2097e-004	-4,2334e-005	-6,0763e-004	1,1286e-003 
10	0,86302	-5,1274e-005	-4,9629e-005	-5,5442e-005	2,4501e-007	6,8698e-004	1,06e-004	1,204e-003	6,426e-004	-5,131e-005	-7,4764e-004	1,3902e-003 
11	1,	-5,8442e-005	-5,6128e-005	-6,3671e-005	3,4922e-007	7,9287e-004	1,2254e-004	1,3896e-003	7,4242e-004	-5,8494e-005	-8,6217e-004	1,6046e-003 
