Node Number	Normal Stress (MPa)
31621	-1,748e-002
31622	-2,7168e-002
31623	-2,5312e-002
31624	-2,5894e-002
31625	-2,6824e-002
31626	-3,1913e-002
31627	-3,1141e-002
31628	-3,0968e-002
31629	-4,8211e-002
31630	-2,9863e-002
31631	-4,955e-002
31632	-3,5075e-002
31633	-4,052e-002
31634	-6,5797e-002
31635	-3,9634e-002
31636	-6,6469e-002
31637	-4,0991e-002
31638	-3,707e-002
31639	-5,6315e-002
31640	-4,1142e-002
31641	-4,2394e-002
31642	-6,633e-002
31643	-4,3089e-002
31644	-5,3192e-002
31645	-7,9052e-002
31646	-4,0586e-002
31647	-6,308e-002
31648	-4,3678e-002
31649	-5,411e-002
31650	-3,7912e-002
31651	-5,3537e-002
31652	-3,0809e-002
31653	-4,7005e-002
31654	-2,6595e-002
31655	-3,8242e-002
31656	-2,3439e-002
31657	-2,2379e-002
31658	-3,2629e-002
31659	-2,3416e-002
31660	-2,9712e-002
31661	-1,739e-002
31662	-1,7387e-002
31663	-2,5182e-002
31664	-1,9299e-002
31665	-1,5424e-002
31666	-2,2719e-002
31667	-1,3976e-002
31668	-1,644e-002
31669	-1,1467e-002
31670	-1,362e-002
31671	-1,7105e-002
31672	-9,4782e-003
31673	-8,2568e-003
31674	-1,1703e-002
31675	-1,408e-002
31676	-7,9369e-003
31677	-7,884e-003
31678	-1,2493e-002
31679	-8,5715e-003
31680	-8,8975e-003
31681	-6,7782e-003
31682	-8,793e-003
31683	-6,33e-003
31684	-5,842e-003
31685	-8,9944e-003
31686	-6,0591e-003
31687	-8,9186e-003
31688	-5,0692e-003
31689	-4,7696e-003
31690	-6,8958e-003
31691	-4,0907e-003
31692	-7,5748e-003
31693	-4,0589e-003
31694	-4,0186e-003
31695	-6,4254e-003
31696	-3,0729e-003
31697	-3,9299e-003
31698	-5,891e-003
31699	-2,858e-003
31700	-4,2615e-003
31701	-2,8081e-003
31702	-4,6338e-003
31703	-2,9175e-003
31704	-4,236e-003
31705	-2,7444e-003
31706	-2,6502e-003
31707	-3,9476e-003
31708	-3,0331e-003
31709	-3,6196e-003
31710	-7,2514e-004
31711	-2,3616e-003
31712	-2,2519e-003
31713	-2,2874e-003
31714	-3,0175e-003
31951	-8,798e-003
31952	-3,1689e-003
31953	1,7693e-005
31954	6,1631e-004
31955	-7,83e-003
31956	-5,6367e-004
31957	-1,9071e-004
31958	-2,0566e-002
31959	-1,7998e-003
