0	Time [s]	Pressure sensor 34 (NormX) [MPa]	Pressure sensor 34 (NormY) [MPa]	Pressure sensor 34 (NormZ) [MPa]	Pressure sensor 34 (ShearXY) [MPa]	Pressure sensor 34 (ShearYZ) [MPa]	Pressure sensor 34 (ShearXZ) [MPa]	Pressure sensor 34 (Equivalent (von-Mises)) [MPa]	Pressure sensor 34 (Maximum Principal) [MPa]	Pressure sensor 34 (Middle Principal) [MPa]	Pressure sensor 34 (Minimum Principal) [MPa]	Pressure sensor 34 (Intensity) [MPa] 
1	5,8333e-003	2,9381e-007	2,7903e-007	3,2272e-007	7,7512e-009	-5,3221e-006	5,1249e-006	1,2797e-005	7,689e-006	2,9444e-007	-7,0879e-006	1,4777e-005 
2	1,1667e-002	6,958e-007	6,6287e-007	7,6078e-007	1,6895e-008	-1,1854e-005	1,1398e-005	2,8484e-005	1,7156e-005	6,9686e-007	-1,5734e-005	3,289e-005 
3	2,0417e-002	1,2533e-006	1,1962e-006	1,3652e-006	2,8383e-008	-2,0535e-005	1,9747e-005	4,9344e-005	2,9769e-005	1,2542e-006	-2,7209e-005	5,6978e-005 
4	3,3542e-002	2,1132e-006	2,0198e-006	2,2928e-006	4,4325e-008	-3,3577e-005	3,229e-005	8,0687e-005	4,8741e-005	2,1126e-006	-4,4428e-005	9,3169e-005 
5	5,3229e-002	3,4855e-006	3,3384e-006	3,7602e-006	6,4847e-008	-5,2824e-005	5,0922e-005	1,2708e-004	7,6925e-005	3,4795e-006	-6,982e-005	1,4674e-004 
6	8,276e-002	5,5811e-006	5,3541e-006	5,9793e-006	8,8705e-008	-8,1734e-005	7,8733e-005	1,9657e-004	1,1916e-004	5,5605e-006	-1,0781e-004	2,2698e-004 
7	0,12706	9,3357e-006	8,9905e-006	9,9007e-006	1,0942e-007	-1,2383e-004	1,195e-004	2,9807e-004	1,8156e-004	9,2786e-006	-1,6261e-004	3,4418e-004 
8	0,17135	1,3242e-005	1,2783e-005	1,3929e-005	1,1278e-007	-1,6499e-004	1,5932e-004	3,9726e-004	2,4277e-004	1,3133e-005	-2,1595e-004	4,5871e-004 
9	0,2378	1,9366e-005	1,8732e-005	2,0155e-005	8,7731e-008	-2,2683e-004	2,1933e-004	5,4651e-004	3,3508e-004	1,9147e-005	-2,9598e-004	6,3106e-004 
10	0,33747	2,9271e-005	2,8386e-005	3,0049e-005	-1,552e-008	-3,1744e-004	3,0681e-004	7,6467e-004	4,7092e-004	2,8828e-005	-4,1204e-004	8,8296e-004 
11	0,48697	4,5212e-005	4,3946e-005	4,5574e-005	-3,1758e-007	-4,5299e-004	4,3831e-004	1,0918e-003	6,7555e-004	4,4283e-005	-5,851e-004	1,2607e-003 
12	0,65364	6,356e-005	6,1873e-005	6,2849e-005	-8,6387e-007	-6,042e-004	5,8483e-004	1,4564e-003	9,0408e-004	6,1881e-005	-7,7768e-004	1,6818e-003 
13	0,8203	8,2373e-005	8,0268e-005	7,9939e-005	-1,6326e-006	-7,5491e-004	7,3148e-004	1,8207e-003	1,1326e-003	7,9722e-005	-9,6974e-004	2,1023e-003 
14	0,91015	9,2491e-005	9,0156e-005	8,8836e-005	-2,1425e-006	-8,3613e-004	8,1137e-004	2,018e-003	1,2562e-003	8,9217e-005	-1,074e-003	2,3302e-003 
15	1,	1,0317e-004	1,0062e-004	9,8156e-005	-2,7079e-006	-9,1639e-004	8,8961e-004	2,2121e-003	1,3785e-003	9,9228e-005	-1,1758e-003	2,5544e-003 
