0	Time [s]	Pressure sensor 32 (NormX) [MPa]	Pressure sensor 32 (NormY) [MPa]	Pressure sensor 32 (NormZ) [MPa]	Pressure sensor 32 (ShearXY) [MPa]	Pressure sensor 32 (ShearYZ) [MPa]	Pressure sensor 32 (ShearXZ) [MPa]	Pressure sensor 32 (Equivalent (von-Mises)) [MPa]	Pressure sensor 32 (Maximum Principal) [MPa]	Pressure sensor 32 (Middle Principal) [MPa]	Pressure sensor 32 (Minimum Principal) [MPa]	Pressure sensor 32 (Intensity) [MPa] 
1	5,8333e-003	3,0355e-006	2,988e-006	3,3471e-006	-7,124e-009	-2,265e-005	-1,197e-006	3,9288e-005	2,585e-005	3,0362e-006	-1,9515e-005	4,5365e-005 
2	1,1667e-002	6,5728e-006	6,4737e-006	7,2545e-006	-1,4067e-008	-5,0699e-005	-2,4947e-006	8,7922e-005	5,7625e-005	6,5739e-006	-4,3898e-005	1,0152e-004 
3	2,0417e-002	1,1204e-005	1,1048e-005	1,2372e-005	-2,1578e-008	-8,8728e-005	-4,042e-006	1,5385e-004	1,0053e-004	1,1206e-005	-7,7114e-005	1,7765e-004 
4	3,3542e-002	1,764e-005	1,7426e-005	1,9499e-005	-2,8209e-008	-1,4702e-004	-5,8942e-006	2,5485e-004	1,656e-004	1,7642e-005	-1,2868e-004	2,9428e-004 
5	5,3229e-002	2,7082e-005	2,6839e-005	2,9905e-005	-3,6086e-008	-2,3384e-004	-8,2605e-006	4,0528e-004	2,6236e-004	2,7084e-005	-2,0562e-004	4,6797e-004 
6	8,276e-002	4,0193e-005	4,0067e-005	4,4316e-005	-3,2534e-008	-3,6851e-004	-1,0676e-005	6,3856e-004	4,1086e-004	4,0195e-005	-3,2648e-004	7,3734e-004 
7	0,12706	6,1013e-005	6,1377e-005	6,6857e-005	-1,8959e-008	-5,6886e-004	-1,1753e-005	9,8551e-004	6,331e-004	6,1014e-005	-5,0487e-004	1,138e-003 
8	0,17135	8,1392e-005	8,2656e-005	8,8565e-005	4,6596e-009	-7,6921e-004	-1,1652e-005	1,3325e-003	8,5492e-004	8,1392e-005	-6,837e-004	1,5386e-003 
9	0,2378	1,0928e-004	1,1264e-004	1,176e-004	4,3379e-008	-1,0752e-003	-1,0082e-005	1,8625e-003	1,1904e-003	1,0928e-004	-9,6016e-004	2,1506e-003 
10	0,33747	1,53e-004	1,6117e-004	1,6153e-004	9,9595e-008	-1,5289e-003	-5,9249e-006	2,6481e-003	1,6902e-003	1,53e-004	-1,3675e-003	3,0577e-003 
11	0,48697	2,1325e-004	2,3248e-004	2,1808e-004	1,2368e-007	-2,2206e-003	6,464e-006	3,8462e-003	2,4459e-003	2,1325e-004	-1,9953e-003	4,4412e-003 
12	0,65364	2,7927e-004	3,1607e-004	2,7457e-004	5,4058e-008	-2,9884e-003	2,0684e-005	5,1763e-003	3,2838e-003	2,7928e-004	-2,6932e-003	5,977e-003 
13	0,8203	3,4185e-004	4,0188e-004	3,218e-004	-1,6809e-007	-3,7577e-003	3,9345e-005	6,5092e-003	4,1199e-003	3,4185e-004	-3,3962e-003	7,5162e-003 
14	0,91015	3,7552e-004	4,5031e-004	3,4488e-004	-3,6939e-007	-4,1707e-003	5,0212e-005	7,225e-003	4,5689e-003	3,7553e-004	-3,7737e-003	8,3426e-003 
15	1,	4,1214e-004	5,0328e-004	3,6949e-004	-6,2326e-007	-4,5819e-003	6,2555e-005	7,9377e-003	5,0192e-003	4,1214e-004	-4,1464e-003	9,1657e-003 
