0	Time [s]	Pressure sensor 28 (NormX) [MPa]	Pressure sensor 28 (NormY) [MPa]	Pressure sensor 28 (NormZ) [MPa]	Pressure sensor 28 (ShearXY) [MPa]	Pressure sensor 28 (ShearYZ) [MPa]	Pressure sensor 28 (ShearXZ) [MPa]	Pressure sensor 28 (Equivalent (von-Mises)) [MPa]	Pressure sensor 28 (Maximum Principal) [MPa]	Pressure sensor 28 (Middle Principal) [MPa]	Pressure sensor 28 (Minimum Principal) [MPa]	Pressure sensor 28 (Intensity) [MPa] 
1	1,6667e-002	-5,8171e-004	-5,8217e-004	-6,0722e-004	4,295e-007	-6,7089e-006	1,1219e-005	3,3946e-005	-5,766e-004	-5,817e-004	-6,1281e-004	3,6208e-005 
2	3,3333e-002	-1,1628e-003	-1,1637e-003	-1,2138e-003	8,64e-007	-1,2223e-005	2,3235e-005	6,8006e-005	-1,1524e-003	-1,1628e-003	-1,225e-003	7,2631e-005 
3	5,8333e-002	-2,0104e-003	-2,012e-003	-2,0986e-003	1,5067e-006	-1,8523e-005	4,0397e-005	1,165e-004	-1,9929e-003	-2,0107e-003	-2,1173e-003	1,2436e-004 
4	9,5833e-002	-3,274e-003	-3,2767e-003	-3,4178e-003	2,4878e-006	-2,9726e-005	6,5353e-005	1,8915e-004	-3,2461e-003	-3,2746e-003	-3,4478e-003	2,0178e-004 
5	0,15208	-5,1463e-003	-5,1506e-003	-5,3725e-003	3,9751e-006	-4,2421e-005	1,041e-004	2,9696e-004	-5,1025e-003	-5,1475e-003	-5,4194e-003	3,1692e-004 
6	0,23646	-7,9243e-003	-7,9309e-003	-8,2731e-003	6,2791e-006	-5,6458e-005	1,5244e-004	4,4588e-004	-7,8638e-003	-7,9267e-003	-8,3378e-003	4,7396e-004 
7	0,36302	-1,1992e-002	-1,2002e-002	-1,2521e-002	9,819e-006	-7,8936e-005	2,4219e-004	6,8527e-004	-1,1894e-002	-1,1997e-002	-1,2625e-002	7,3072e-004 
8	0,48958	-1,6111e-002	-1,6125e-002	-1,6824e-002	1,3614e-005	-1,0087e-004	3,113e-004	9,0535e-004	-1,599e-002	-1,6118e-002	-1,6953e-002	9,622e-004 
9	0,65625	-2,1377e-002	-2,1396e-002	-2,2325e-002	1,8758e-005	-1,27e-004	4,2094e-004	1,2092e-003	-2,1212e-002	-2,1386e-002	-2,2499e-002	1,2865e-003 
10	0,82292	-2,6591e-002	-2,6615e-002	-2,7773e-002	2,4129e-005	-1,5531e-004	5,3601e-004	1,5187e-003	-2,6379e-002	-2,6603e-002	-2,7997e-002	1,6182e-003 
11	0,91146	-2,9382e-002	-2,9408e-002	-3,069e-002	2,7116e-005	-1,6699e-004	5,8585e-004	1,6713e-003	-2,9153e-002	-2,9395e-002	-3,0932e-002	1,7793e-003 
12	1,	-3,2162e-002	-3,2191e-002	-3,3596e-002	3,0179e-005	-1,824e-004	6,4244e-004	1,8321e-003	-3,1911e-002	-3,2177e-002	-3,3861e-002	1,9506e-003 
