0	Time [s]	Pressure sensor 14 (NormX) [MPa]	Pressure sensor 14 (NormY) [MPa]	Pressure sensor 14 (NormZ) [MPa]	Pressure sensor 14 (ShearXY) [MPa]	Pressure sensor 14 (ShearYZ) [MPa]	Pressure sensor 14 (ShearXZ) [MPa]	Pressure sensor 14 (Equivalent (von-Mises)) [MPa]	Pressure sensor 14 (Maximum Principal) [MPa]	Pressure sensor 14 (Middle Principal) [MPa]	Pressure sensor 14 (Minimum Principal) [MPa]	Pressure sensor 14 (Intensity) [MPa] 
1	1,6667e-002	-8,908e-005	-8,9089e-005	-9,2741e-005	5,1987e-009	-2,8656e-005	-3,6023e-005	7,9811e-005	-4,4843e-005	-8,9091e-005	-1,3698e-004	9,2134e-005 
2	3,3333e-002	-1,7938e-004	-1,794e-004	-1,8678e-004	2,0322e-008	-5,8397e-005	-7,2206e-005	1,6102e-004	-9,0137e-005	-1,7941e-004	-2,7601e-004	1,8588e-004 
3	5,8333e-002	-3,1515e-004	-3,152e-004	-3,2825e-004	6,153e-008	-1,0196e-004	-1,2728e-004	2,8277e-004	-1,5846e-004	-3,1524e-004	-4,8489e-004	3,2643e-004 
4	9,5833e-002	-5,1655e-004	-5,1666e-004	-5,3823e-004	1,6325e-007	-1,6729e-004	-2,0804e-004	4,6289e-004	-2,6015e-004	-5,1678e-004	-7,9451e-004	5,3436e-004 
5	0,15208	-8,1863e-004	-8,1888e-004	-8,5348e-004	4,0809e-007	-2,6554e-004	-3,2962e-004	7,3396e-004	-4,1226e-004	-8,1918e-004	-1,2595e-003	8,4729e-004 
6	0,23646	-1,2701e-003	-1,2706e-003	-1,3253e-003	9,7428e-007	-4,1081e-004	-5,1054e-004	1,1363e-003	-6,414e-004	-1,2713e-003	-1,9532e-003	1,3118e-003 
7	0,36302	-1,9499e-003	-1,951e-003	-2,0373e-003	2,2837e-006	-6,3104e-004	-7,8078e-004	1,741e-003	-9,8778e-004	-1,9528e-003	-2,9976e-003	2,0098e-003 
8	0,52969	-2,8407e-003	-2,843e-003	-2,973e-003	4,8154e-006	-9,1754e-004	-1,1337e-003	2,5295e-003	-1,4449e-003	-2,8468e-003	-4,365e-003	2,9201e-003 
9	0,69635	-3,7365e-003	-3,7402e-003	-3,9169e-003	8,2511e-006	-1,2033e-003	-1,482e-003	3,3113e-003	-1,9121e-003	-3,7468e-003	-5,7347e-003	3,8226e-003 
10	0,86302	-4,6261e-003	-4,6316e-003	-4,8572e-003	1,2546e-005	-1,486e-003	-1,8254e-003	4,0833e-003	-2,3797e-003	-4,6417e-003	-7,0935e-003	4,7137e-003 
11	1,	-5,3676e-003	-5,3749e-003	-5,643e-003	1,6749e-005	-1,7175e-003	-2,1087e-003	4,7185e-003	-2,7751e-003	-5,3884e-003	-8,2221e-003	5,447e-003 
