0	Time [s]	Pressure sensor 4 (NormX) [MPa]	Pressure sensor 4 (NormY) [MPa]	Pressure sensor 4 (NormZ) [MPa]	Pressure sensor 4 (ShearXY) [MPa]	Pressure sensor 4 (ShearYZ) [MPa]	Pressure sensor 4 (ShearXZ) [MPa]	Pressure sensor 4 (Equivalent (von-Mises)) [MPa]	Pressure sensor 4 (Maximum Principal) [MPa]	Pressure sensor 4 (Middle Principal) [MPa]	Pressure sensor 4 (Minimum Principal) [MPa]	Pressure sensor 4 (Intensity) [MPa] 
1	1,6667e-002	-1,0711e-007	-1,1784e-007	-9,6706e-008	-8,1126e-009	1,4784e-005	3,9535e-006	2,6507e-005	1,5195e-005	-1,0378e-007	-1,5413e-005	3,0607e-005 
2	3,3333e-002	-1,7541e-007	-1,9507e-007	-1,5523e-007	-1,5888e-008	2,9912e-005	8,0053e-006	5,3633e-005	3,0787e-005	-1,6879e-007	-3,1144e-005	6,193e-005 
3	5,8333e-002	-2,4712e-007	-2,7611e-007	-2,1595e-007	-2,6412e-008	5,2497e-005	1,4025e-005	9,4117e-005	5,4087e-005	-2,3587e-007	-5,459e-005	1,0868e-004 
4	9,5833e-002	-3,5612e-007	-3,9006e-007	-3,1963e-007	-3,9623e-008	8,63e-005	2,3084e-005	1,5473e-004	8,897e-005	-3,386e-007	-8,9697e-005	1,7867e-004 
5	0,15208	-3,7951e-007	-4,0094e-007	-3,5371e-007	-5,377e-008	1,3668e-004	3,6651e-005	2,451e-004	1,4112e-004	-3,5405e-007	-1,419e-004	2,8302e-004 
6	0,23646	-3,5323e-007	-3,1107e-007	-3,9626e-007	-6,2503e-008	2,1248e-004	5,7034e-005	3,8105e-004	2,1963e-004	-3,1909e-007	-2,2037e-004	4,4e-004 
7	0,36302	2,0922e-007	4,439e-007	-3,4615e-008	-4,7568e-008	3,2421e-004	8,7064e-005	5,8144e-004	3,3588e-004	2,4883e-007	-3,3551e-004	6,7139e-004 
8	0,52969	1,1841e-006	1,8549e-006	4,6009e-007	2,292e-008	4,7253e-004	1,2692e-004	8,4746e-004	4,9042e-004	1,2177e-006	-4,8814e-004	9,7856e-004 
9	0,69635	2,8929e-006	4,1922e-006	1,4829e-006	1,4911e-007	6,1783e-004	1,66e-004	1,1081e-003	6,4258e-004	2,9057e-006	-6,3691e-004	1,2795e-003 
10	0,86302	4,9833e-006	7,1043e-006	2,6635e-006	3,3111e-007	7,6235e-004	2,0524e-004	1,3675e-003	7,9439e-004	4,9604e-006	-7,846e-004	1,579e-003 
11	1,	7,1323e-006	1,007e-005	3,91e-006	5,1958e-007	8,8035e-004	2,3687e-004	1,579e-003	9,1868e-004	7,0699e-006	-9,0464e-004	1,8233e-003 
