0	Time [s]	Pressure sensor 28 (NormX) [MPa]	Pressure sensor 28 (NormY) [MPa]	Pressure sensor 28 (NormZ) [MPa]	Pressure sensor 28 (ShearXY) [MPa]	Pressure sensor 28 (ShearYZ) [MPa]	Pressure sensor 28 (ShearXZ) [MPa]	Pressure sensor 28 (Equivalent (von-Mises)) [MPa]	Pressure sensor 28 (Maximum Principal) [MPa]	Pressure sensor 28 (Middle Principal) [MPa]	Pressure sensor 28 (Minimum Principal) [MPa]	Pressure sensor 28 (Intensity) [MPa] 
1	1,6667e-002	-2,7231e-005	-2,7426e-005	-2,8248e-005	5,0284e-008	-9,1722e-005	9,6961e-006	1,5976e-004	6,4393e-005	-2,7223e-005	-1,2008e-004	1,8447e-004 
2	3,3333e-002	-5,799e-005	-5,8308e-005	-6,0259e-005	9,2506e-008	-1,8786e-004	1,8202e-005	3,2691e-004	1,2945e-004	-5,7975e-005	-2,4803e-004	3,7748e-004 
3	5,8333e-002	-1,062e-004	-1,0654e-004	-1,1061e-004	1,41e-007	-3,3338e-004	2,9967e-005	5,7978e-004	2,2614e-004	-1,0618e-004	-4,4332e-004	6,6947e-004 
4	9,5833e-002	-1,8404e-004	-1,8403e-004	-1,923e-004	1,8439e-007	-5,5581e-004	4,5026e-005	9,6588e-004	3,6947e-004	-1,8401e-004	-7,4582e-004	1,1153e-003 
5	0,15208	-3,0839e-004	-3,0695e-004	-3,2371e-004	1,971e-007	-8,9677e-004	6,4438e-005	1,5573e-003	5,8377e-004	-3,0836e-004	-1,2145e-003	1,7982e-003 
6	0,23646	-5,0499e-004	-4,9927e-004	-5,3352e-004	1,3073e-007	-1,4166e-003	8,56e-005	2,4582e-003	9,0282e-004	-5,0496e-004	-1,9357e-003	2,8385e-003 
7	0,32083	-7,0207e-004	-6,8951e-004	-7,4644e-004	-2,1261e-008	-1,9374e-003	1,0326e-004	3,3608e-003	1,2223e-003	-7,0204e-004	-2,6583e-003	3,8806e-003 
8	0,4474	-1,0142e-003	-9,8632e-004	-1,0881e-003	-3,5317e-007	-2,7268e-003	1,2205e-004	4,7286e-003	1,6928e-003	-1,0141e-003	-3,7673e-003	5,4601e-003 
9	0,57396	-1,3236e-003	-1,2747e-003	-1,4329e-003	-7,8452e-007	-3,513e-003	1,371e-004	6,091e-003	2,1628e-003	-1,3236e-003	-4,8704e-003	7,0332e-003 
10	0,74062	-1,7475e-003	-1,6614e-003	-1,9134e-003	-1,3381e-006	-4,559e-003	1,4568e-004	7,9036e-003	2,7756e-003	-1,7475e-003	-6,3505e-003	9,1261e-003 
11	0,90729	-2,1627e-003	-2,0296e-003	-2,395e-003	-1,9795e-006	-5,5967e-003	1,5355e-004	9,7027e-003	3,3895e-003	-2,1627e-003	-7,8141e-003	1,1204e-002 
12	1,	-2,4064e-003	-2,2423e-003	-2,6811e-003	-2,0765e-006	-6,1821e-003	1,4583e-004	1,0718e-002	3,7261e-003	-2,4064e-003	-8,6494e-003	1,2375e-002 
