0	Time [s]	Pressure sensor 23 (NormX) [MPa]	Pressure sensor 23 (NormY) [MPa]	Pressure sensor 23 (NormZ) [MPa]	Pressure sensor 23 (ShearXY) [MPa]	Pressure sensor 23 (ShearYZ) [MPa]	Pressure sensor 23 (ShearXZ) [MPa]	Pressure sensor 23 (Equivalent (von-Mises)) [MPa]	Pressure sensor 23 (Maximum Principal) [MPa]	Pressure sensor 23 (Middle Principal) [MPa]	Pressure sensor 23 (Minimum Principal) [MPa]	Pressure sensor 23 (Intensity) [MPa] 
1	1,6667e-002	-3,7661e-004	-3,7663e-004	-3,9258e-004	-9,0819e-008	-2,2237e-004	8,1844e-005	4,1072e-004	-1,4749e-004	-3,7667e-004	-6,2166e-004	4,7417e-004 
2	3,3333e-002	-7,7324e-004	-7,7287e-004	-8,0664e-004	-3,4027e-007	-4,4465e-004	1,5739e-004	8,1767e-004	-3,1768e-004	-7,7342e-004	-1,2617e-003	9,4397e-004 
3	5,8333e-002	-1,3746e-003	-1,3729e-003	-1,4354e-003	-9,6564e-007	-7,7174e-004	2,6478e-004	1,4145e-003	-5,8743e-004	-1,375e-003	-2,2204e-003	1,633e-003 
4	9,5833e-002	-2,2917e-003	-2,2866e-003	-2,3965e-003	-2,4055e-006	-1,2533e-003	4,1373e-004	2,2886e-003	-1,0201e-003	-2,2927e-003	-3,6621e-003	2,642e-003 
5	0,15208	-3,6969e-003	-3,6831e-003	-3,8732e-003	-5,5619e-006	-1,9627e-003	6,2006e-004	3,5698e-003	-1,7166e-003	-3,6988e-003	-5,8377e-003	4,1211e-003 
6	0,23646	-5,8539e-003	-5,8197e-003	-6,1489e-003	-1,2133e-005	-3,0054e-003	8,9373e-004	5,4398e-003	-2,8425e-003	-5,8577e-003	-9,1222e-003	6,2797e-003 
7	0,32083	-8,0258e-003	-7,9625e-003	-8,4511e-003	-2,0865e-005	-4,0402e-003	1,1545e-003	7,2926e-003	-3,9945e-003	-8,032e-003	-1,2413e-002	8,4184e-003 
8	0,4474	-1,1262e-002	-1,114e-002	-1,19e-002	-3,7145e-005	-5,5444e-003	1,5106e-003	9,9785e-003	-5,7554e-003	-1,1272e-002	-1,7274e-002	1,1519e-002 
9	0,57396	-1,4484e-002	-1,4286e-002	-1,5356e-002	-5,7331e-005	-7,0325e-003	1,8494e-003	1,2634e-002	-7,5215e-003	-1,45e-002	-2,2105e-002	1,4584e-002 
10	0,74062	-1,8725e-002	-1,84e-002	-1,9934e-002	-8,8323e-005	-8,9458e-003	2,2517e-003	1,604e-002	-9,8982e-003	-1,8748e-002	-2,8413e-002	1,8515e-002 
11	0,90729	-2,2916e-002	-2,2435e-002	-2,4495e-002	-1,2514e-004	-1,0838e-002	2,6436e-003	1,9413e-002	-1,2246e-002	-2,2947e-002	-3,4654e-002	2,2409e-002 
12	1,	-2,5262e-002	-2,4683e-002	-2,7058e-002	-1,4586e-004	-1,1861e-002	2,8202e-003	2,1226e-002	-1,3602e-002	-2,5297e-002	-3,8104e-002	2,4502e-002 
