0	Time [s]	Pressure sensor 17 (NormX) [MPa]	Pressure sensor 17 (NormY) [MPa]	Pressure sensor 17 (NormZ) [MPa]	Pressure sensor 17 (ShearXY) [MPa]	Pressure sensor 17 (ShearYZ) [MPa]	Pressure sensor 17 (ShearXZ) [MPa]	Pressure sensor 17 (Equivalent (von-Mises)) [MPa]	Pressure sensor 17 (Maximum Principal) [MPa]	Pressure sensor 17 (Middle Principal) [MPa]	Pressure sensor 17 (Minimum Principal) [MPa]	Pressure sensor 17 (Intensity) [MPa] 
1	1,6667e-002	-4,8026e-004	-4,8034e-004	-5,0071e-004	6,3152e-008	-7,9353e-005	-2,8813e-004	5,1804e-004	-1,9144e-004	-4,8036e-004	-7,895e-004	5,9806e-004 
2	3,3333e-002	-9,5138e-004	-9,5224e-004	-9,9349e-004	3,325e-007	-1,5751e-004	-5,7449e-004	1,0326e-003	-3,7632e-004	-9,5235e-004	-1,5684e-003	1,1921e-003 
3	5,8333e-002	-1,6384e-003	-1,6417e-003	-1,715e-003	1,0677e-006	-2,6598e-004	-9,9353e-004	1,783e-003	-6,4729e-004	-1,642e-003	-2,7058e-003	2,0585e-003 
4	9,5833e-002	-2,6403e-003	-2,6499e-003	-2,7733e-003	2,8966e-006	-4,2502e-004	-1,6104e-003	2,8876e-003	-1,0395e-003	-2,6507e-003	-4,3733e-003	3,3337e-003 
5	0,15208	-4,1051e-003	-4,13e-003	-4,3345e-003	7,1993e-006	-6,5751e-004	-2,5207e-003	4,5173e-003	-1,6113e-003	-4,132e-003	-6,8264e-003	5,2151e-003 
6	0,23646	-6,2264e-003	-6,2868e-003	-6,6247e-003	1,6768e-005	-9,8731e-004	-3,8531e-003	6,8995e-003	-2,4407e-003	-6,2911e-003	-1,0406e-002	7,9653e-003 
7	0,32083	-8,299e-003	-8,4098e-003	-8,8977e-003	3,02e-005	-1,3144e-003	-5,1771e-003	9,2681e-003	-3,2446e-003	-8,4175e-003	-1,3944e-002	1,07e-002 
8	0,4474	-1,1315e-002	-1,1527e-002	-1,2267e-002	5,6419e-005	-1,7774e-003	-7,1124e-003	1,2728e-002	-4,4368e-003	-1,1541e-002	-1,9131e-002	1,4694e-002 
9	0,57396	-1,425e-002	-1,4595e-002	-1,5621e-002	9,0732e-005	-2,2453e-003	-9,0242e-003	1,6155e-002	-5,5991e-003	-1,4617e-002	-2,425e-002	1,8651e-002 
10	0,74062	-1,7963e-002	-1,8525e-002	-1,9977e-002	1,4675e-004	-2,8441e-003	-1,1487e-002	2,0578e-002	-7,0735e-003	-1,8561e-002	-3,083e-002	2,3757e-002 
11	0,90729	-2,1556e-002	-2,2386e-002	-2,4319e-002	2,1524e-004	-3,4336e-003	-1,3921e-002	2,4959e-002	-8,5036e-003	-2,2438e-002	-3,7318e-002	2,8815e-002 
12	1,	-2,3461e-002	-2,4459e-002	-2,6677e-002	2,574e-004	-3,7467e-003	-1,5241e-002	2,7337e-002	-9,258e-003	-2,4521e-002	-4,0818e-002	3,156e-002 
