0	Time [s]	Pressure sensor 24 (NormX) [MPa]	Pressure sensor 24 (NormY) [MPa]	Pressure sensor 24 (NormZ) [MPa]	Pressure sensor 24 (ShearXY) [MPa]	Pressure sensor 24 (ShearYZ) [MPa]	Pressure sensor 24 (ShearXZ) [MPa]	Pressure sensor 24 (Equivalent (von-Mises)) [MPa]	Pressure sensor 24 (Maximum Principal) [MPa]	Pressure sensor 24 (Middle Principal) [MPa]	Pressure sensor 24 (Minimum Principal) [MPa]	Pressure sensor 24 (Intensity) [MPa] 
1	5,8333e-003	-1,7358e-006	-1,6959e-006	-1,7423e-006	7,4934e-008	-1,3322e-005	1,6808e-005	3,7148e-005	1,9679e-005	-1,6383e-006	-2,3215e-005	4,2895e-005 
2	1,1667e-002	-3,9173e-006	-3,8329e-006	-3,9476e-006	1,5984e-007	-2,8793e-005	3,6205e-005	8,0122e-005	4,2264e-005	-3,7098e-006	-5,0252e-005	9,2516e-005 
3	2,0417e-002	-7,5845e-006	-7,4384e-006	-7,6847e-006	2,8129e-007	-5,1169e-005	6,4462e-005	1,4255e-004	7,4558e-005	-7,2209e-006	-9,0045e-005	1,646e-004 
4	3,3542e-002	-1,3784e-005	-1,355e-005	-1,4055e-005	4,5725e-007	-8,5408e-005	1,0763e-004	2,3798e-004	1,233e-004	-1,3195e-005	-1,5149e-004	2,7479e-004 
5	5,3229e-002	-2,3489e-005	-2,3135e-005	-2,4119e-005	7,0285e-007	-1,3687e-004	1,7253e-004	3,8145e-004	1,9615e-004	-2,2587e-005	-2,4431e-004	4,4046e-004 
6	8,276e-002	-3,9645e-005	-3,9136e-005	-4,1088e-005	1,0201e-006	-2,163e-004	2,7266e-004	6,0282e-004	3,0727e-004	-3,8339e-005	-3,888e-004	6,9607e-004 
7	0,12706	-6,7385e-005	-6,6705e-005	-7,0692e-005	1,3892e-006	-3,396e-004	4,282e-004	9,4661e-004	4,7693e-004	-6,5615e-005	-6,161e-004	1,093e-003 
8	0,17135	-9,7313e-005	-9,6548e-005	-1,0322e-004	1,583e-006	-4,6433e-004	5,8618e-004	1,2953e-003	6,4692e-004	-9,5302e-005	-8,487e-004	1,4956e-003 
9	0,2378	-1,4221e-004	-1,4148e-004	-1,5319e-004	1,5506e-006	-6,5125e-004	8,2343e-004	1,8184e-003	9,0154e-004	-1,4025e-004	-1,1982e-003	2,0997e-003 
10	0,33747	-2,1903e-004	-2,1875e-004	-2,4097e-004	6,8361e-007	-9,4146e-004	1,1904e-003	2,6288e-003	1,2874e-003	-2,1819e-004	-1,748e-003	3,0354e-003 
11	0,48697	-3,3572e-004	-3,3698e-004	-3,807e-004	-2,4735e-006	-1,3806e-003	1,7458e-003	3,8553e-003	1,8686e-003	-3,389e-004	-2,5831e-003	4,4517e-003 
12	0,65364	-4,6023e-004	-4,6437e-004	-5,3969e-004	-8,6447e-006	-1,8712e-003	2,3625e-003	5,2206e-003	2,5175e-003	-4,7119e-004	-3,5106e-003	6,0281e-003 
13	0,8203	-5,8597e-004	-5,9424e-004	-7,099e-004	-1,7725e-005	-2,3666e-003	2,9832e-003	6,5967e-003	3,1677e-003	-6,0831e-004	-4,4495e-003	7,6172e-003 
14	0,91015	-6,5105e-004	-6,6204e-004	-8,0292e-004	-2,3824e-005	-2,6352e-003	3,3185e-003	7,3413e-003	3,5209e-003	-6,81e-004	-4,9559e-003	8,4768e-003 
15	1,	-7,1927e-004	-7,3344e-004	-9,0252e-004	-3,0818e-005	-2,9073e-003	3,6596e-003	8,0974e-003	3,8764e-003	-7,5798e-004	-5,4736e-003	9,35e-003 
