0	Time [s]	Pressure sensor 23 (NormX) [MPa]	Pressure sensor 23 (NormY) [MPa]	Pressure sensor 23 (NormZ) [MPa]	Pressure sensor 23 (ShearXY) [MPa]	Pressure sensor 23 (ShearYZ) [MPa]	Pressure sensor 23 (ShearXZ) [MPa]	Pressure sensor 23 (Equivalent (von-Mises)) [MPa]	Pressure sensor 23 (Maximum Principal) [MPa]	Pressure sensor 23 (Middle Principal) [MPa]	Pressure sensor 23 (Minimum Principal) [MPa]	Pressure sensor 23 (Intensity) [MPa] 
1	5,8333e-003	-3,4482e-004	-3,4483e-004	-3,5898e-004	2,5636e-008	-7,5177e-005	-7,8038e-005	1,8822e-004	-2,433e-004	-3,4485e-004	-4,6048e-004	2,1718e-004 
2	1,1667e-002	-7,3029e-004	-7,3031e-004	-7,6048e-004	1,1422e-007	-1,564e-004	-1,6703e-004	3,9749e-004	-5,1601e-004	-7,3041e-004	-9,7466e-004	4,5865e-004 
3	2,0417e-002	-1,2614e-003	-1,2615e-003	-1,3141e-003	3,3559e-007	-2,6398e-004	-2,9061e-004	6,8205e-004	-8,9411e-004	-1,2618e-003	-1,6811e-003	7,87e-004 
4	3,3542e-002	-2,0531e-003	-2,0534e-003	-2,14e-003	8,6447e-007	-4,1521e-004	-4,7581e-004	1,0972e-003	-1,4632e-003	-2,0541e-003	-2,7292e-003	1,266e-003 
5	5,3229e-002	-3,2163e-003	-3,2171e-003	-3,3551e-003	2,0874e-006	-6,3395e-004	-7,5211e-004	1,7093e-003	-2,2987e-003	-3,2189e-003	-4,271e-003	1,9723e-003 
6	8,276e-002	-4,9472e-003	-4,9495e-003	-5,1667e-003	4,8203e-006	-9,413e-004	-1,1689e-003	2,6086e-003	-3,5501e-003	-4,9533e-003	-6,56e-003	3,0098e-003 
7	0,11229	-6,6613e-003	-6,666e-003	-6,9649e-003	8,5694e-006	-1,2327e-003	-1,5861e-003	3,4924e-003	-4,795e-003	-6,6725e-003	-8,8246e-003	4,0296e-003 
8	0,15659	-9,189e-003	-9,1987e-003	-9,6249e-003	1,6216e-005	-1,6762e-003	-2,2055e-003	4,8175e-003	-6,6217e-003	-9,2108e-003	-1,218e-002	5,5585e-003 
9	0,22303	-1,2924e-002	-1,2945e-002	-1,3572e-002	3,1436e-005	-2,2919e-003	-3,1238e-003	6,741e-003	-9,3477e-003	-1,2968e-002	-1,7125e-002	7,7776e-003 
10	0,3227	-1,8433e-002	-1,8481e-002	-1,943e-002	6,2475e-005	-3,1609e-003	-4,4956e-003	9,569e-003	-1,339e-002	-1,8523e-002	-2,443e-002	1,104e-002 
11	0,4722	-2,6458e-002	-2,6567e-002	-2,8047e-002	1,2702e-004	-4,4176e-003	-6,5271e-003	1,3739e-002	-1,9285e-002	-2,665e-002	-3,5137e-002	1,5852e-002 
12	0,63887	-3,5186e-002	-3,5392e-002	-3,7535e-002	2,2336e-004	-5,7632e-003	-8,7805e-003	1,8335e-002	-2,5712e-002	-3,5535e-002	-4,6866e-002	2,1153e-002 
13	0,80554	-4,3707e-002	-4,4045e-002	-4,6923e-002	3,4541e-004	-7,0762e-003	-1,1036e-002	2,292e-002	-3,1986e-002	-4,426e-002	-5,8429e-002	2,6443e-002 
14	0,90277	-4,8591e-002	-4,9021e-002	-5,2364e-002	4,2838e-004	-7,8266e-003	-1,236e-002	2,5602e-002	-3,5577e-002	-4,9285e-002	-6,5114e-002	2,9537e-002 
15	0,9368	-5,0291e-002	-5,0758e-002	-5,4269e-002	4,596e-004	-8,0896e-003	-1,2826e-002	2,6546e-002	-3,6826e-002	-5,104e-002	-6,7452e-002	3,0626e-002 
16	0,97083	-5,2029e-002	-5,2533e-002	-5,6222e-002	4,9291e-004	-8,36e-003	-1,3305e-002	2,7518e-002	-3,8101e-002	-5,2834e-002	-6,9848e-002	3,1747e-002 
17	1,	-5,3508e-002	-5,4046e-002	-5,7889e-002	5,2218e-004	-8,59e-003	-1,3713e-002	2,8346e-002	-3,9188e-002	-5,4364e-002	-7,189e-002	3,2702e-002 
