0	Time [s]	Pressure sensor 25 (NormX) [MPa]	Pressure sensor 25 (NormY) [MPa]	Pressure sensor 25 (NormZ) [MPa]	Pressure sensor 25 (ShearXY) [MPa]	Pressure sensor 25 (ShearYZ) [MPa]	Pressure sensor 25 (ShearXZ) [MPa]	Pressure sensor 25 (Equivalent (von-Mises)) [MPa]	Pressure sensor 25 (Maximum Principal) [MPa]	Pressure sensor 25 (Middle Principal) [MPa]	Pressure sensor 25 (Minimum Principal) [MPa]	Pressure sensor 25 (Intensity) [MPa] 
1	5,8333e-003	2,9352e-007	3,1446e-007	3,3709e-007	1,6702e-009	-1,2954e-006	9,2549e-006	1,6186e-005	9,6605e-006	3,1451e-007	-9,0299e-006	1,869e-005 
2	1,1667e-002	6,9784e-007	7,4226e-007	7,9277e-007	3,5327e-009	-2,8835e-006	1,9946e-005	3,4906e-005	2,0898e-005	7,4235e-007	-1,9408e-005	4,0306e-005 
3	2,0417e-002	1,2815e-006	1,3572e-006	1,4455e-006	5,963e-009	-5,1905e-006	3,4908e-005	6,1127e-005	3,6655e-005	1,3573e-006	-3,3928e-005	7,0584e-005 
4	3,3542e-002	2,1653e-006	2,2838e-006	2,4245e-006	8,9735e-009	-8,6167e-006	5,732e-005	1,004e-004	6,0259e-005	2,2838e-006	-5,567e-005	1,1593e-004 
5	5,3229e-002	3,5702e-006	3,7447e-006	3,9574e-006	1,2297e-008	-1,4036e-005	9,1255e-005	1,5992e-004	9,6093e-005	3,7444e-006	-8,8565e-005	1,8466e-004 
6	8,276e-002	5,9898e-006	6,2281e-006	6,5387e-006	1,3918e-008	-2,2377e-005	1,4166e-004	2,4841e-004	1,4968e-004	6,2266e-006	-1,3715e-004	2,8683e-004 
7	0,12706	9,643e-006	9,9309e-006	1,0336e-005	8,5717e-009	-3,4849e-005	2,1795e-004	3,823e-004	2,3071e-004	9,9264e-006	-2,1073e-004	4,4144e-004 
8	0,1935	1,6477e-005	1,674e-005	1,7229e-005	-1,7088e-008	-5,4514e-005	3,3036e-004	5,7994e-004	3,5169e-004	1,6728e-005	-3,1797e-004	6,6966e-004 
9	0,25995	2,364e-005	2,3758e-005	2,4206e-005	-6,4125e-008	-7,4203e-005	4,4207e-004	7,7641e-004	4,7219e-004	2,3734e-005	-4,2432e-004	8,9652e-004 
10	0,35962	3,6063e-005	3,5747e-005	3,5953e-005	-1,7814e-007	-1,048e-004	6,0771e-004	1,0681e-003	6,5272e-004	3,5696e-005	-5,8065e-004	1,2334e-003 
11	0,50912	5,602e-005	5,4568e-005	5,39e-005	-4,4046e-007	-1,5085e-004	8,5557e-004	1,5048e-003	9,2379e-004	5,4461e-005	-8,1376e-004	1,7375e-003 
12	0,67578	8,0642e-005	7,7245e-005	7,4905e-005	-8,7117e-007	-2,0366e-004	1,1304e-003	1,9895e-003	1,2265e-003	7,7048e-005	-1,0707e-003	2,2972e-003 
13	0,84245	1,0678e-004	1,0073e-004	9,5959e-005	-1,4405e-006	-2,5598e-004	1,4037e-003	2,4714e-003	1,5284e-003	1,0042e-004	-1,3254e-003	2,8538e-003 
14	1,	1,3277e-004	1,2354e-004	1,1571e-004	-2,1234e-006	-3,0745e-004	1,6638e-003	2,9306e-003	1,8165e-003	1,2309e-004	-1,5675e-003	3,384e-003 
