Node Number	Normal Stress (MPa)
31756	-1,1998e-002
31757	-1,1928e-002
31758	-1,9848e-002
31759	-1,5449e-002
31760	-1,4276e-002
31761	-2,1425e-002
31762	-2,4031e-002
31763	-2,2099e-002
31764	-2,2605e-002
31765	-3,2277e-002
31766	-2,0135e-002
31767	-3,0737e-002
31768	-2,3707e-002
31769	-2,4385e-002
31770	-4,0425e-002
31771	-2,6271e-002
31772	-4,2585e-002
31773	-3,2089e-002
31774	-3,3724e-002
31775	-4,9959e-002
31776	-3,3884e-002
31777	-3,5279e-002
31778	-5,6152e-002
31779	-3,6759e-002
31780	-5,6972e-002
31781	-5,1508e-002
31782	-4,0506e-002
31783	-6,9391e-002
31784	-5,3085e-002
31785	-5,9935e-002
31786	-3,8425e-002
31787	-5,3849e-002
31788	-3,886e-002
31789	-3,4413e-002
31790	-5,1629e-002
31791	-2,9802e-002
31792	-2,8435e-002
31793	-4,1078e-002
31794	-3,074e-002
31795	-2,887e-002
31796	-3,718e-002
31797	-2,2545e-002
31798	-2,0979e-002
31799	-2,9939e-002
31800	-2,5537e-002
31801	-2,0665e-002
31802	-3,037e-002
31803	-2,0056e-002
31804	-1,7464e-002
31805	-1,7447e-002
31806	-1,6893e-002
31807	-1,907e-002
31808	-1,2752e-002
31809	-1,2135e-002
31810	-1,4127e-002
31811	-1,502e-002
31812	-9,151e-003
31813	-8,1388e-003
31814	-1,1364e-002
31815	-9,9704e-003
31816	-1,0649e-002
31817	-6,3271e-003
31818	-8,7374e-003
31819	-6,07e-003
31820	-6,0079e-003
31821	-8,0907e-003
31822	-4,7336e-003
31823	-6,9109e-003
31824	-5,4015e-003
31825	-5,1797e-003
31826	-5,8276e-003
31827	-3,8304e-003
31828	-6,5352e-003
31829	-3,7489e-003
31830	-3,4835e-003
31831	-5,3293e-003
31832	-2,948e-003
31833	-3,5752e-003
31834	-5,3631e-003
31835	-2,9415e-003
31836	-4,5815e-003
31837	-2,9506e-003
31838	-4,8985e-003
31839	-3,1922e-003
31840	-4,6085e-003
31841	-3,2331e-003
31842	-3,3299e-003
31843	-5,1086e-003
31844	-4,2559e-003
31845	-4,0789e-003
31846	-6,4584e-003
31847	-3,1397e-003
31848	-2,7269e-003
31849	-2,9338e-003
31850	-5,5714e-003
37092	-2,4142e-003
37093	-3,3224e-004
37094	-4,8245e-003
37095	-7,8062e-005
37096	-4,2495e-003
37097	-1,1285e-002
37098	-1,9561e-003
37099	3,1695e-004
37100	-8,7345e-003
37101	-2,699e-004
37102	-1,3668e-002
37103	-1,0193e-002
37104	-3,7567e-003
37105	6,1901e-005
37106	-1,3323e-002
37107	-5,7952e-005
37108	-4,1637e-003
37109	-9,0485e-003
37110	3,2592e-005
37111	-1,423e-003
37112	-1,1919e-002
37113	-3,616e-003
37114	-1,1845e-004
37115	-3,4533e-005
37116	-1,0806e-002
37117	-7,3578e-005
37118	-5,4857e-003
37119	-1,3463e-002
37120	-1,2487e-002
37121	-6,7902e-004
37122	-9,5438e-003
37123	-3,0846e-003
37124	-9,0515e-005
37125	-7,8928e-004
37126	-8,0113e-003
37127	-3,983e-003
37128	-1,5202e-003
37129	6,7214e-005
37130	-2,2943e-004
37131	-6,2358e-003
37132	-6,492e-004
37133	-9,4135e-004
37134	-5,0575e-004
37135	-1,0619e-002
37136	-8,8066e-003
37137	-6,2446e-003
37138	-5,6234e-004
37139	-2,3632e-003
37140	-1,8176e-004
37141	-7,5145e-003
37142	5,0568e-005
37143	-5,759e-003
37144	-9,1046e-005
37145	-1,4762e-002
37146	-1,1761e-002
37147	-1,3277e-002
37148	-8,6571e-004
37149	-1,2936e-004
