0	Time [s]	Pressure sensor 19 (NormX) [MPa]	Pressure sensor 19 (NormY) [MPa]	Pressure sensor 19 (NormZ) [MPa]	Pressure sensor 19 (ShearXY) [MPa]	Pressure sensor 19 (ShearYZ) [MPa]	Pressure sensor 19 (ShearXZ) [MPa]	Pressure sensor 19 (Equivalent (von-Mises)) [MPa]	Pressure sensor 19 (Maximum Principal) [MPa]	Pressure sensor 19 (Middle Principal) [MPa]	Pressure sensor 19 (Minimum Principal) [MPa]	Pressure sensor 19 (Intensity) [MPa] 
1	1,6667e-002	1,1121e-006	1,256e-006	1,416e-006	3,7688e-008	9,3984e-006	2,6108e-005	4,8062e-005	2,9033e-005	1,2154e-006	-2,6464e-005	5,5497e-005 
2	3,3333e-002	2,1815e-006	2,4856e-006	2,8091e-006	8,5622e-008	1,8726e-005	5,4402e-005	9,9654e-005	6,0073e-005	2,4007e-006	-5,4997e-005	1,1507e-004 
3	5,8333e-002	3,7294e-006	4,2605e-006	4,8075e-006	1,6245e-007	3,2649e-005	9,6414e-005	1,7631e-004	1,0614e-004	4,1071e-006	-9,7448e-005	2,0359e-004 
4	9,5833e-002	5,5659e-006	6,4386e-006	7,2759e-006	3,0176e-007	5,2827e-005	1,6238e-004	2,9577e-004	1,7732e-004	6,1776e-006	-1,6421e-004	3,4153e-004 
5	0,15208	8,844e-006	1,0179e-005	1,1393e-005	5,4467e-007	8,3367e-005	2,6265e-004	4,773e-004	2,859e-004	9,7431e-006	-2,6523e-004	5,5114e-004 
6	0,23646	1,2623e-005	1,4522e-005	1,604e-005	9,8711e-007	1,2739e-004	4,179e-004	7,5671e-004	4,5158e-004	1,381e-005	-4,222e-004	8,7378e-004 
7	0,36302	1,9325e-005	2,171e-005	2,3241e-005	1,8094e-006	1,9354e-004	6,5459e-004	1,1823e-003	7,0448e-004	2,0534e-005	-6,6073e-004	1,3652e-003 
8	0,52969	3,1319e-005	3,3692e-005	3,4462e-005	3,1785e-006	2,751e-004	9,7119e-004	1,7483e-003	1,0432e-003	3,1849e-005	-9,7559e-004	2,0188e-003 
9	0,69635	4,142e-005	4,2829e-005	4,156e-005	4,8357e-006	3,5703e-004	1,2977e-003	2,3312e-003	1,3887e-003	4,0256e-005	-1,3031e-003	2,6918e-003 
10	0,86302	5,1668e-005	5,1131e-005	4,6619e-005	6,7973e-006	4,3654e-004	1,6305e-003	2,9236e-003	1,7388e-003	4,7771e-005	-1,6371e-003	3,3759e-003 
11	1,	6,2694e-005	5,9826e-005	5,1853e-005	8,6161e-006	5,026e-004	1,9052e-003	3,4129e-003	2,0297e-003	5,5762e-005	-1,9111e-003	3,9409e-003 
