0	Time [s]	Pressure sensor 24 (NormX) [MPa]	Pressure sensor 24 (NormY) [MPa]	Pressure sensor 24 (NormZ) [MPa]	Pressure sensor 24 (ShearXY) [MPa]	Pressure sensor 24 (ShearYZ) [MPa]	Pressure sensor 24 (ShearXZ) [MPa]	Pressure sensor 24 (Equivalent (von-Mises)) [MPa]	Pressure sensor 24 (Maximum Principal) [MPa]	Pressure sensor 24 (Middle Principal) [MPa]	Pressure sensor 24 (Minimum Principal) [MPa]	Pressure sensor 24 (Intensity) [MPa] 
1	1,6667e-002	1,5401e-007	1,5343e-007	1,5762e-007	-7,2304e-010	-9,9393e-006	1,4673e-005	3,0696e-005	1,7879e-005	1,5294e-007	-1,7567e-005	3,5445e-005 
2	3,3333e-002	4,0564e-007	4,0332e-007	4,1137e-007	-2,9373e-009	-2,009e-005	2,9489e-005	6,1803e-005	3,6092e-005	4,0132e-007	-3,5273e-005	7,1364e-005 
3	5,8333e-002	8,0121e-007	7,9427e-007	8,01e-007	-8,9778e-009	-3,5267e-005	5,1346e-005	1,0789e-004	6,3095e-005	7,8812e-007	-6,1487e-005	1,2458e-004 
4	9,5833e-002	1,4126e-006	1,3938e-006	1,3813e-006	-2,4241e-008	-5,788e-005	8,4473e-005	1,7736e-004	1,0381e-004	1,3772e-006	-1,01e-004	2,048e-004 
5	0,15208	2,7942e-006	2,7481e-006	2,687e-006	-6,0556e-008	-9,1858e-005	1,3297e-004	2,7992e-004	1,6437e-004	2,7064e-006	-1,5885e-004	3,2322e-004 
6	0,23646	5,7554e-006	5,6481e-006	5,468e-006	-1,4358e-007	-1,4191e-004	2,0403e-004	4,3047e-004	2,5419e-004	5,5485e-006	-2,4287e-004	4,9706e-004 
7	0,32083	8,8098e-006	8,6155e-006	8,2154e-006	-2,6282e-007	-1,9235e-004	2,7554e-004	5,8204e-004	3,4464e-004	8,4324e-006	-3,2744e-004	6,7208e-004 
8	0,4474	1,3856e-005	1,3483e-005	1,2578e-005	-5,0866e-007	-2,6798e-004	3,8279e-004	8,0935e-004	4,8067e-004	1,3127e-005	-4,5388e-004	9,3455e-004 
9	0,61406	2,1056e-005	2,036e-005	1,8467e-005	-9,5249e-007	-3,6697e-004	5,2347e-004	1,1073e-003	6,5938e-004	1,9694e-005	-6,1919e-004	1,2786e-003 
10	0,78073	2,8281e-005	2,7153e-005	2,3832e-005	-1,5487e-006	-4,6816e-004	6,6725e-004	1,4118e-003	8,4171e-004	2,6069e-005	-7,8852e-004	1,6302e-003 
11	0,89036	3,2978e-005	3,1502e-005	2,7015e-005	-2,0185e-006	-5,3419e-004	7,6225e-004	1,6122e-003	9,6151e-004	3,0091e-005	-9,001e-004	1,8616e-003 
12	1,	3,8705e-005	3,6853e-005	3,1087e-005	-2,542e-006	-5,9988e-004	8,5488e-004	1,8089e-003	1,0801e-003	3,5074e-005	-1,0086e-003	2,0887e-003 
