0	Time [s]	Pressure sensor 18 (NormX) [MPa]	Pressure sensor 18 (NormY) [MPa]	Pressure sensor 18 (NormZ) [MPa]	Pressure sensor 18 (ShearXY) [MPa]	Pressure sensor 18 (ShearYZ) [MPa]	Pressure sensor 18 (ShearXZ) [MPa]	Pressure sensor 18 (Equivalent (von-Mises)) [MPa]	Pressure sensor 18 (Maximum Principal) [MPa]	Pressure sensor 18 (Middle Principal) [MPa]	Pressure sensor 18 (Minimum Principal) [MPa]	Pressure sensor 18 (Intensity) [MPa] 
1	5,8333e-003	-5,6193e-005	-5,6214e-005	-5,7962e-005	-2,3027e-007	4,6003e-005	8,2364e-005	1,6341e-004	3,7166e-005	-5,6013e-005	-1,5152e-004	1,8869e-004 
2	1,1667e-002	-1,3416e-004	-1,3429e-004	-1,3867e-004	-4,8679e-007	1,0654e-004	1,9209e-004	3,8048e-004	8,3025e-005	-1,3384e-004	-3,563e-004	4,3933e-004 
3	2,0417e-002	-2,3779e-004	-2,3819e-004	-2,4639e-004	-7,3398e-007	1,8437e-004	3,3416e-004	6,6109e-004	1,3922e-004	-2,3748e-004	-6,2412e-004	7,6334e-004 
4	3,3542e-002	-3,967e-004	-3,9776e-004	-4,1243e-004	-9,2087e-007	3,0029e-004	5,4701e-004	1,0809e-003	2,1899e-004	-3,9674e-004	-1,0291e-003	1,2481e-003 
5	5,3229e-002	-6,4555e-004	-6,4821e-004	-6,7435e-004	-7,9143e-007	4,7405e-004	8,693e-004	1,7152e-003	3,2966e-004	-6,4694e-004	-1,6508e-003	1,9805e-003 
6	8,276e-002	-1,0342e-003	-1,0406e-003	-1,0876e-003	3,4045e-007	7,332e-004	1,3579e-003	2,6733e-003	4,8193e-004	-1,0394e-003	-2,6049e-003	3,0868e-003 
7	0,11229	-1,4306e-003	-1,4424e-003	-1,5142e-003	2,602e-006	9,9103e-004	1,8464e-003	3,6304e-003	6,2333e-004	-1,442e-003	-3,5686e-003	4,1919e-003 
8	0,15659	-2,0368e-003	-2,0597e-003	-2,1755e-003	8,0534e-006	1,3702e-003	2,5781e-003	5,0586e-003	8,1516e-004	-2,0613e-003	-5,0258e-003	5,841e-003 
9	0,20089	-2,6599e-003	-2,6975e-003	-2,8658e-003	1,5899e-005	1,7453e-003	3,3042e-003	6,4753e-003	9,7791e-004	-2,7024e-003	-6,4988e-003	7,4767e-003 
10	0,26733	-3,5884e-003	-3,6543e-003	-3,9148e-003	3,2006e-005	2,2973e-003	4,3844e-003	8,5786e-003	1,2072e-003	-3,6664e-003	-8,6982e-003	9,9053e-003 
11	0,367	-4,999e-003	-5,1217e-003	-5,5512e-003	6,5656e-005	3,1097e-003	5,9881e-003	1,1698e-002	1,4924e-003	-5,1493e-003	-1,2015e-002	1,3507e-002 
12	0,5165	-7,1283e-003	-7,3679e-003	-8,1176e-003	1,3675e-004	4,3006e-003	8,3725e-003	1,6329e-002	1,8347e-003	-7,429e-003	-1,7019e-002	1,8854e-002 
13	0,68317	-9,4776e-003	-9,8921e-003	-1,1086e-002	2,4358e-004	5,5856e-003	1,1002e-002	2,1424e-002	2,1425e-003	-1,0004e-002	-2,2595e-002	2,4737e-002 
14	0,84983	-1,1723e-002	-1,2353e-002	-1,4075e-002	3,7791e-004	6,8518e-003	1,3567e-002	2,6417e-002	2,4403e-003	-1,2529e-002	-2,8062e-002	3,0502e-002 
15	1,	-1,3718e-002	-1,4582e-002	-1,6852e-002	5,2196e-004	7,9644e-003	1,5869e-002	3,0895e-002	2,6733e-003	-1,4826e-002	-3,2999e-002	3,5672e-002 
