0	Time [s]	Pressure sensor 6 (NormX) [MPa]	Pressure sensor 6 (NormY) [MPa]	Pressure sensor 6 (NormZ) [MPa]	Pressure sensor 6 (ShearXY) [MPa]	Pressure sensor 6 (ShearYZ) [MPa]	Pressure sensor 6 (ShearXZ) [MPa]	Pressure sensor 6 (Equivalent (von-Mises)) [MPa]	Pressure sensor 6 (Maximum Principal) [MPa]	Pressure sensor 6 (Middle Principal) [MPa]	Pressure sensor 6 (Minimum Principal) [MPa]	Pressure sensor 6 (Intensity) [MPa] 
1	5,8333e-003	6,1742e-007	5,8842e-007	6,7147e-007	1,0415e-008	9,6502e-006	-3,6585e-006	1,7876e-005	1,0949e-005	6,2068e-007	-9,6922e-006	2,0641e-005 
2	1,1667e-002	1,5028e-006	1,4365e-006	1,6296e-006	2,3866e-008	2,2425e-005	-8,5236e-006	4,1553e-005	2,552e-005	1,5103e-006	-2,2461e-005	4,7981e-005 
3	2,0417e-002	2,7197e-006	2,6071e-006	2,9406e-006	4,0333e-008	3,8772e-005	-1,4712e-005	7,1828e-005	4,4237e-005	2,7323e-006	-3,8702e-005	8,2939e-005 
4	3,3542e-002	4,5783e-006	4,4009e-006	4,935e-006	6,3291e-008	6,3089e-005	-2,3958e-005	1,1689e-004	7,2144e-005	4,598e-006	-6,2828e-005	1,3497e-004 
5	5,3229e-002	7,5513e-006	7,285e-006	8,1061e-006	9,4122e-008	9,9497e-005	-3,7852e-005	1,8438e-004	1,1414e-004	7,5802e-006	-9,8774e-005	2,1291e-004 
6	8,276e-002	1,241e-005	1,2031e-005	1,3247e-005	1,317e-007	1,5328e-004	-5,8478e-005	2,8416e-004	1,7668e-004	1,245e-005	-1,5144e-004	3,2812e-004 
7	0,11229	1,7495e-005	1,7028e-005	1,8587e-005	1,5862e-007	2,0625e-004	-7,8888e-005	3,8248e-004	2,3861e-004	1,7541e-005	-2,0304e-004	4,4165e-004 
8	0,15659	2,5409e-005	2,4853e-005	2,6828e-005	1,7954e-007	2,856e-004	-1,0973e-004	5,2994e-004	3,3177e-004	2,5458e-005	-2,8014e-004	6,1192e-004 
9	0,20089	3,3551e-005	3,2956e-005	3,5226e-005	1,7702e-007	3,6422e-004	-1,4054e-004	6,7618e-004	4,2446e-004	3,3592e-005	-3,5632e-004	7,8079e-004 
10	0,26733	4,6139e-005	4,5581e-005	4,8065e-005	1,2854e-007	4,8117e-004	-1,8642e-004	8,9377e-004	5,6283e-004	4,6152e-005	-4,692e-004	1,032e-003 
11	0,367	6,5323e-005	6,5031e-005	6,73e-005	-4,5484e-008	6,5657e-004	-2,557e-004	1,2204e-003	7,708e-004	6,5254e-005	-6,384e-004	1,4092e-003 
12	0,5165	9,5882e-005	9,6436e-005	9,7296e-005	-5,2183e-007	9,1409e-004	-3,5808e-004	1,7004e-003	1,0787e-003	9,5601e-005	-8,8472e-004	1,9634e-003 
13	0,68317	1,3151e-004	1,3362e-004	1,3138e-004	-1,3494e-006	1,1967e-003	-4,7059e-004	2,2272e-003	1,4187e-003	1,3087e-004	-1,153e-003	2,5717e-003 
14	0,84983	1,6604e-004	1,7039e-004	1,6324e-004	-2,5089e-006	1,4799e-003	-5,8298e-004	2,7549e-003	1,7579e-003	1,6492e-004	-1,4232e-003	3,1811e-003 
15	1,	1,9835e-004	2,0523e-004	1,9234e-004	-3,8133e-006	1,7311e-003	-6,8385e-004	3,2238e-003	2,0609e-003	1,9667e-004	-1,6616e-003	3,7225e-003 
