0	Time [s]	Pressure sensor 11 (NormX) [MPa]	Pressure sensor 11 (NormY) [MPa]	Pressure sensor 11 (NormZ) [MPa]	Pressure sensor 11 (ShearXY) [MPa]	Pressure sensor 11 (ShearYZ) [MPa]	Pressure sensor 11 (ShearXZ) [MPa]	Pressure sensor 11 (Equivalent (von-Mises)) [MPa]	Pressure sensor 11 (Maximum Principal) [MPa]	Pressure sensor 11 (Middle Principal) [MPa]	Pressure sensor 11 (Minimum Principal) [MPa]	Pressure sensor 11 (Intensity) [MPa] 
1	5,8333e-003	-7,7449e-006	-7,7425e-006	-8,0705e-006	-3,2846e-009	3,1269e-005	-2,1329e-005	6,556e-005	2,9945e-005	-7,7472e-006	-4,5756e-005	7,5702e-005 
2	1,1667e-002	-1,7911e-005	-1,7898e-005	-1,8693e-005	-1,7699e-008	7,2526e-005	-4,9552e-005	1,5214e-004	6,9548e-005	-1,7924e-005	-1,0613e-004	1,7568e-004 
3	2,0417e-002	-3,0923e-005	-3,0883e-005	-3,2337e-005	-5,3068e-008	1,2568e-004	-8,574e-005	2,6352e-004	1,2055e-004	-3,096e-005	-1,8373e-004	3,0428e-004 
4	3,3542e-002	-5,0166e-005	-5,0061e-005	-5,2617e-005	-1,4074e-007	2,0473e-004	-1,3959e-004	4,2919e-004	1,965e-004	-5,0264e-005	-2,9908e-004	4,9558e-004 
5	5,3229e-002	-7,8907e-005	-7,8646e-005	-8,3133e-005	-3,51e-007	3,2328e-004	-2,2048e-004	6,7778e-004	3,1055e-004	-7,9151e-005	-4,7208e-004	7,8263e-004 
6	8,276e-002	-1,2013e-004	-1,195e-004	-1,2743e-004	-8,3765e-007	4,9922e-004	-3,4072e-004	1,0469e-003	4,8125e-004	-1,2071e-004	-7,276e-004	1,2088e-003 
7	0,11229	-1,601e-004	-1,5897e-004	-1,7099e-004	-1,5222e-006	6,7279e-004	-4,5942e-004	1,4111e-003	6,5026e-004	-1,6116e-004	-9,7916e-004	1,6294e-003 
8	0,15659	-2,1984e-004	-2,1767e-004	-2,372e-004	-2,9284e-006	9,3254e-004	-6,3766e-004	1,9568e-003	9,0334e-004	-2,2188e-004	-1,3562e-003	2,2595e-003 
9	0,20089	-2,7927e-004	-2,7577e-004	-3,0433e-004	-4,7708e-006	1,1893e-003	-8,1463e-004	2,497e-003	1,1533e-003	-2,826e-004	-1,73e-003	2,8833e-003 
10	0,26733	-3,6642e-004	-3,6031e-004	-4,0528e-004	-8,3482e-006	1,5721e-003	-1,0785e-003	3,3024e-003	1,5268e-003	-3,7225e-004	-2,2865e-003	3,8133e-003 
11	0,367	-4,9789e-004	-4,8658e-004	-5,6271e-004	-1,5538e-005	2,1431e-003	-1,4728e-003	4,5047e-003	2,0816e-003	-5,0877e-004	-3,12e-003	5,2015e-003 
12	0,5165	-6,8578e-004	-6,6397e-004	-8,0011e-004	-3,0151e-005	2,9829e-003	-2,0537e-003	6,2742e-003	2,9009e-003	-7,0693e-004	-4,3438e-003	7,2448e-003 
13	0,68317	-8,8477e-004	-8,4749e-004	-1,0688e-003	-5,1651e-005	3,903e-003	-2,6892e-003	8,2125e-003	3,8015e-003	-9,2103e-004	-5,6815e-003	9,483e-003 
14	0,84983	-1,0847e-003	-1,028e-003	-1,3544e-003	-7,8738e-005	4,819e-003	-3,3206e-003	1,0142e-002	4,6918e-003	-1,14e-003	-7,019e-003	1,1711e-002 
15	1,	-1,2526e-003	-1,1753e-003	-1,6116e-003	-1,0751e-004	5,6288e-003	-3,8821e-003	1,1852e-002	5,4869e-003	-1,3282e-003	-8,1981e-003	1,3685e-002 
