0	Time [s]	Pressure sensor 19 (NormX) [MPa]	Pressure sensor 19 (NormY) [MPa]	Pressure sensor 19 (NormZ) [MPa]	Pressure sensor 19 (ShearXY) [MPa]	Pressure sensor 19 (ShearYZ) [MPa]	Pressure sensor 19 (ShearXZ) [MPa]	Pressure sensor 19 (Equivalent (von-Mises)) [MPa]	Pressure sensor 19 (Maximum Principal) [MPa]	Pressure sensor 19 (Middle Principal) [MPa]	Pressure sensor 19 (Minimum Principal) [MPa]	Pressure sensor 19 (Intensity) [MPa] 
1	5,8333e-003	-3,5255e-007	-3,7427e-007	-3,3941e-007	-9,5975e-009	6,0179e-006	2,0951e-005	3,7756e-005	2,1449e-005	-3,6752e-007	-2,2148e-005	4,3597e-005 
2	1,1667e-002	-1,0179e-006	-1,0749e-006	-1,0086e-006	-2,0992e-008	1,3953e-005	4,913e-005	8,8461e-005	5,0052e-005	-1,0596e-006	-5,2094e-005	1,0215e-004 
3	2,0417e-002	-2,1026e-006	-2,2162e-006	-2,1313e-006	-3,3e-008	2,417e-005	8,5886e-005	1,5454e-004	8,7092e-005	-2,1906e-006	-9,1352e-005	1,7844e-004 
4	3,3542e-002	-3,9833e-006	-4,2053e-006	-4,1318e-006	-4,463e-008	3,9402e-005	1,4125e-004	2,5399e-004	1,4256e-004	-4,1662e-006	-1,5072e-004	2,9328e-004 
5	5,3229e-002	-7,4657e-006	-7,9073e-006	-7,9435e-006	-4,7875e-008	6,2328e-005	2,2594e-004	4,0595e-004	2,2665e-004	-7,8515e-006	-2,4211e-004	4,6876e-004 
6	8,276e-002	-1,3182e-005	-1,4083e-005	-1,4459e-005	-1,9674e-008	9,6317e-005	3,5466e-004	6,3655e-004	3,5365e-004	-1,4011e-005	-3,8137e-004	7,3502e-004 
7	0,11229	-1,9555e-005	-2,1076e-005	-2,2013e-005	5,0676e-008	1,3034e-004	4,848e-004	8,6953e-004	4,812e-004	-2,0999e-005	-5,2285e-004	1,004e-003 
8	0,15659	-2,9474e-005	-3,2219e-005	-3,4373e-005	2,3253e-007	1,804e-004	6,8034e-004	1,2191e-003	6,719e-004	-3,2153e-005	-7,3581e-004	1,4077e-003 
9	0,20089	-4,0776e-005	-4,5114e-005	-4,8993e-005	5,0878e-007	2,3046e-004	8,7796e-004	1,5722e-003	8,6281e-004	-4,5085e-005	-9,5261e-004	1,8154e-003 
10	0,26733	-5,5678e-005	-6,3043e-005	-7,0206e-005	1,088e-006	3,0374e-004	1,1706e-003	2,0947e-003	1,1464e-003	-6,3107e-005	-1,2723e-003	2,4187e-003 
11	0,367	-8,1201e-005	-9,4662e-005	-1,0879e-004	2,3513e-006	4,1361e-004	1,6145e-003	2,8868e-003	1,5719e-003	-9,4963e-005	-1,7616e-003	3,3334e-003 
12	0,5165	-1,2189e-004	-1,4808e-004	-1,7709e-004	5,1226e-006	5,7646e-004	2,2879e-003	4,0869e-003	2,2105e-003	-1,4894e-004	-2,5086e-003	4,7191e-003 
13	0,68317	-1,6777e-004	-2,133e-004	-2,6515e-004	9,4369e-006	7,5471e-004	3,0457e-003	5,4355e-003	2,9226e-003	-2,1508e-004	-3,3537e-003	6,2764e-003 
14	0,84983	-2,0881e-004	-2,7872e-004	-3,5942e-004	1,5052e-005	9,3451e-004	3,7959e-003	6,7724e-003	3,6274e-003	-2,8172e-004	-4,1926e-003	7,82e-003 
15	1,	-2,4212e-004	-3,387e-004	-4,5081e-004	2,1174e-005	1,093e-003	4,4767e-003	7,9837e-003	4,2651e-003	-3,4303e-004	-4,9537e-003	9,2188e-003 
