0	Time [s]	Pressure sensor 41 (NormX) [MPa]	Pressure sensor 41 (NormY) [MPa]	Pressure sensor 41 (NormZ) [MPa]	Pressure sensor 41 (ShearXY) [MPa]	Pressure sensor 41 (ShearYZ) [MPa]	Pressure sensor 41 (ShearXZ) [MPa]	Pressure sensor 41 (Equivalent (von-Mises)) [MPa]	Pressure sensor 41 (Maximum Principal) [MPa]	Pressure sensor 41 (Middle Principal) [MPa]	Pressure sensor 41 (Minimum Principal) [MPa]	Pressure sensor 41 (Intensity) [MPa] 
1	1,6667e-002	-1,803e-006	-1,8025e-006	-1,8729e-006	5,3873e-010	-5,7239e-006	-6,6271e-006	1,5167e-005	6,9193e-006	-1,8032e-006	-1,0594e-005	1,7514e-005 
2	3,3333e-002	-3,5796e-006	-3,5787e-006	-3,7194e-006	1,482e-009	-1,153e-005	-1,3601e-005	3,0884e-005	1,4182e-005	-3,5806e-006	-2,1479e-005	3,5661e-005 
3	5,8333e-002	-6,1994e-006	-6,1981e-006	-6,4445e-006	3,6776e-009	-2,0173e-005	-2,4297e-005	5,4698e-005	2,526e-005	-6,2022e-006	-3,7899e-005	6,3159e-005 
4	9,5833e-002	-1,0103e-005	-1,0102e-005	-1,0511e-005	8,601e-009	-3,3003e-005	-3,9862e-005	8,9637e-005	4,1449e-005	-1,0111e-005	-6,2055e-005	1,035e-004 
5	0,15208	-1,5845e-005	-1,5846e-005	-1,6505e-005	1,9888e-008	-5,2234e-005	-6,3777e-005	1,4279e-004	6,6272e-005	-1,5865e-005	-9,8603e-005	1,6488e-004 
6	0,23646	-2,4389e-005	-2,4397e-005	-2,5455e-005	4,6268e-008	-8,1269e-005	-1,0101e-004	2,2456e-004	1,0475e-004	-2,4439e-005	-1,5455e-004	2,5929e-004 
7	0,36302	-3,6995e-005	-3,7025e-005	-3,8731e-005	1,0624e-007	-1,2468e-004	-1,571e-004	3,4739e-004	1,6275e-004	-3,7117e-005	-2,3838e-004	4,0113e-004 
8	0,52969	-5,3111e-005	-5,3191e-005	-5,584e-005	2,2317e-007	-1,8143e-004	-2,3176e-004	5,0981e-004	2,3995e-004	-5,3377e-005	-3,4872e-004	5,8867e-004 
9	0,69635	-6,8286e-005	-6,8441e-005	-7,2112e-005	3,8117e-007	-2,3724e-004	-3,0613e-004	6,7083e-004	3,1726e-004	-6,8752e-005	-4,5735e-004	7,746e-004 
10	0,86302	-8,3479e-005	-8,3738e-005	-8,856e-005	5,8381e-007	-2,9336e-004	-3,8182e-004	8,3401e-004	3,9573e-004	-8,4206e-005	-5,673e-004	9,6303e-004 
11	1,	-9,5697e-005	-9,6064e-005	-1,0192e-004	7,8438e-007	-3,3956e-004	-4,4504e-004	9,696e-004	4,613e-004	-9,6686e-005	-6,583e-004	1,1196e-003 
