0	Time [s]	Pressure sensor 25 (NormX) [MPa]	Pressure sensor 25 (NormY) [MPa]	Pressure sensor 25 (NormZ) [MPa]	Pressure sensor 25 (ShearXY) [MPa]	Pressure sensor 25 (ShearYZ) [MPa]	Pressure sensor 25 (ShearXZ) [MPa]	Pressure sensor 25 (Equivalent (von-Mises)) [MPa]	Pressure sensor 25 (Maximum Principal) [MPa]	Pressure sensor 25 (Middle Principal) [MPa]	Pressure sensor 25 (Minimum Principal) [MPa]	Pressure sensor 25 (Intensity) [MPa] 
1	1,6667e-002	-1,0233e-005	-1,0239e-005	-1,0585e-005	4,0681e-008	-2,4458e-005	5,1589e-005	9,8889e-005	4,6668e-005	-1,0206e-005	-6,7519e-005	1,1419e-004 
2	3,3333e-002	-2,0463e-005	-2,0495e-005	-2,1228e-005	6,8951e-008	-4,8894e-005	1,041e-004	1,9921e-004	9,414e-005	-2,0436e-005	-1,3589e-004	2,3003e-004 
3	5,8333e-002	-3,5704e-005	-3,5815e-005	-3,7196e-005	8,7949e-008	-8,5128e-005	1,8214e-004	3,4824e-004	1,6456e-004	-3,5728e-005	-2,3755e-004	4,0211e-004 
4	9,5833e-002	-5,7063e-005	-5,7372e-005	-5,982e-005	6,6815e-008	-1,3787e-004	2,9703e-004	5,6719e-004	2,6897e-004	-5,7266e-005	-3,8596e-004	6,5493e-004 
5	0,15208	-9,0767e-005	-9,1583e-005	-9,6074e-005	-8,0271e-008	-2,1824e-004	4,7387e-004	9,0364e-004	4,2825e-004	-9,1501e-005	-6,1518e-004	1,0434e-003 
6	0,23646	-1,359e-004	-1,3787e-004	-1,4593e-004	-5,311e-007	-3,3424e-004	7,29e-004	1,3891e-003	6,6111e-004	-1,3793e-004	-9,4288e-004	1,604e-003 
7	0,36302	-2,0262e-004	-2,0731e-004	-2,2246e-004	-1,7477e-006	-5,0684e-004	1,1164e-003	2,1236e-003	1,0138e-003	-2,0782e-004	-1,4384e-003	2,4522e-003 
8	0,48958	-2,64e-004	-2,7249e-004	-2,9645e-004	-3,5689e-006	-6,7645e-004	1,4965e-003	2,8447e-003	1,3628e-003	-2,7373e-004	-1,922e-003	3,2847e-003 
9	0,65625	-3,4133e-004	-3,5656e-004	-3,9508e-004	-6,92e-006	-9,0067e-004	1,9985e-003	3,7971e-003	1,8254e-003	-3,5918e-004	-2,5592e-003	4,3845e-003 
10	0,82292	-4,1231e-004	-4,3605e-004	-4,9203e-004	-1,1255e-005	-1,1201e-003	2,4907e-003	4,7307e-003	2,2813e-003	-4,4048e-004	-3,1812e-003	5,4625e-003 
11	0,91146	-4,4708e-004	-4,7603e-004	-5,4242e-004	-1,3942e-005	-1,235e-003	2,7487e-003	5,2201e-003	2,5219e-003	-4,8159e-004	-3,5058e-003	6,0277e-003 
12	1,	-4,8055e-004	-5,1521e-004	-5,9282e-004	-1,6892e-005	-1,3488e-003	3,0056e-003	5,707e-003	2,7616e-003	-5,2202e-004	-3,8282e-003	6,5898e-003 
