0	Time [s]	Pressure sensor 32 (NormX) [MPa]	Pressure sensor 32 (NormY) [MPa]	Pressure sensor 32 (NormZ) [MPa]	Pressure sensor 32 (ShearXY) [MPa]	Pressure sensor 32 (ShearYZ) [MPa]	Pressure sensor 32 (ShearXZ) [MPa]	Pressure sensor 32 (Equivalent (von-Mises)) [MPa]	Pressure sensor 32 (Maximum Principal) [MPa]	Pressure sensor 32 (Middle Principal) [MPa]	Pressure sensor 32 (Minimum Principal) [MPa]	Pressure sensor 32 (Intensity) [MPa] 
1	1,6667e-002	-4,0318e-004	-4,0323e-004	-4,2092e-004	-1,4978e-009	-1,6626e-004	2,6178e-005	2,9205e-004	-2,4354e-004	-4,0318e-004	-5,8061e-004	3,3708e-004 
2	3,3333e-002	-8,2407e-004	-8,2394e-004	-8,606e-004	-3,2279e-008	-3,2938e-004	4,3078e-005	5,7653e-004	-5,0958e-004	-8,2408e-004	-1,175e-003	6,6539e-004 
3	5,8333e-002	-1,4426e-003	-1,4418e-003	-1,5072e-003	-1,0065e-007	-5,6413e-004	6,3072e-005	9,8533e-004	-9,0588e-004	-1,4426e-003	-2,043e-003	1,1372e-003 
4	9,5833e-002	-2,3807e-003	-2,378e-003	-2,4887e-003	-2,0392e-007	-9,0842e-004	7,7956e-005	1,583e-003	-1,5199e-003	-2,3807e-003	-3,3468e-003	1,8269e-003 
5	0,15208	-3,7802e-003	-3,7727e-003	-3,9548e-003	-2,7355e-007	-1,4068e-003	8,1439e-005	2,4473e-003	-2,4516e-003	-3,7802e-003	-5,2758e-003	2,8242e-003 
6	0,23646	-5,8738e-003	-5,8555e-003	-6,1519e-003	-1,0292e-007	-2,1252e-003	6,3912e-005	3,6939e-003	-3,8724e-003	-5,8738e-003	-8,1351e-003	4,2627e-003 
7	0,36302	-8,9848e-003	-8,9425e-003	-9,4249e-003	9,3846e-007	-3,163e-003	9,9567e-006	5,4981e-003	-6,0115e-003	-8,9848e-003	-1,2356e-002	6,3445e-003 
8	0,52969	-1,3055e-002	-1,297e-002	-1,372e-002	4,6955e-006	-4,45e-003	-1,2537e-004	7,7435e-003	-8,8772e-003	-1,3056e-002	-1,7812e-002	8,9352e-003 
9	0,69635	-1,7035e-002	-1,6893e-002	-1,7934e-002	1,0793e-005	-5,6943e-003	-2,8211e-004	9,9232e-003	-1,1688e-002	-1,7036e-002	-2,3138e-002	1,145e-002 
10	0,86302	-2,0959e-002	-2,0749e-002	-2,2103e-002	1,9895e-005	-6,8955e-003	-4,7379e-004	1,2038e-002	-1,448e-002	-2,096e-002	-2,837e-002	1,389e-002 
11	1,	-2,4122e-002	-2,3848e-002	-2,5474e-002	2,8686e-005	-7,8628e-003	-6,2118e-004	1,3744e-002	-1,673e-002	-2,4124e-002	-3,2589e-002	1,5858e-002 
