0	Time [s]	Pressure sensor 31 (NormX) [MPa]	Pressure sensor 31 (NormY) [MPa]	Pressure sensor 31 (NormZ) [MPa]	Pressure sensor 31 (ShearXY) [MPa]	Pressure sensor 31 (ShearYZ) [MPa]	Pressure sensor 31 (ShearXZ) [MPa]	Pressure sensor 31 (Equivalent (von-Mises)) [MPa]	Pressure sensor 31 (Maximum Principal) [MPa]	Pressure sensor 31 (Middle Principal) [MPa]	Pressure sensor 31 (Minimum Principal) [MPa]	Pressure sensor 31 (Intensity) [MPa] 
1	1,6667e-002	-1,6494e-004	-1,6498e-004	-1,7176e-004	-4,773e-008	-1,4106e-004	-1,5968e-004	3,6909e-004	4,4701e-005	-1,6491e-004	-3,8147e-004	4,2617e-004 
2	3,3333e-002	-3,2985e-004	-3,2998e-004	-3,4417e-004	1,2016e-007	-2,8109e-004	-3,2231e-004	7,4087e-004	9,0745e-005	-3,3005e-004	-7,647e-004	8,5545e-004 
3	5,8333e-002	-5,6854e-004	-5,6893e-004	-5,9493e-004	7,433e-007	-4,8388e-004	-5,5916e-004	1,281e-003	1,5813e-004	-5,695e-004	-1,321e-003	1,4792e-003 
4	9,5833e-002	-9,2136e-004	-9,2241e-004	-9,6831e-004	2,4973e-006	-7,8201e-004	-9,1381e-004	2,0837e-003	2,5917e-004	-9,2443e-004	-2,1468e-003	2,406e-003 
5	0,15208	-1,4364e-003	-1,4391e-003	-1,5193e-003	6,8725e-006	-1,218e-003	-1,4378e-003	3,2648e-003	4,0983e-004	-1,4448e-003	-3,3599e-003	3,7697e-003 
6	0,23646	-2,1921e-003	-2,1989e-003	-2,3408e-003	1,7192e-005	-1,8541e-003	-2,2151e-003	5,0055e-003	6,3045e-004	-2,213e-003	-5,1492e-003	5,7796e-003 
7	0,36302	-3,2965e-003	-3,313e-003	-3,5695e-003	4,074e-005	-2,7848e-003	-3,3623e-003	7,5667e-003	9,5209e-004	-3,3463e-003	-7,7848e-003	8,7369e-003 
8	0,52969	-4,701e-003	-4,7372e-003	-5,1824e-003	8,5478e-005	-3,9641e-003	-4,8475e-003	1,0857e-002	1,361e-003	-4,8064e-003	-1,1175e-002	1,2536e-002 
9	0,69635	-6,0498e-003	-6,113e-003	-6,7872e-003	1,4493e-004	-5,1123e-003	-6,2997e-003	1,4072e-002	1,7641e-003	-6,2298e-003	-1,4484e-002	1,6249e-002 
10	0,86302	-7,3482e-003	-7,4458e-003	-8,3867e-003	2,1814e-004	-6,2288e-003	-7,7257e-003	1,7222e-002	2,1624e-003	-7,6205e-003	-1,7723e-002	1,9885e-002 
11	1,	-8,3922e-003	-8,5236e-003	-9,7122e-003	2,8851e-004	-7,1326e-003	-8,8851e-003	1,9781e-002	2,4831e-003	-8,7538e-003	-2,0357e-002	2,284e-002 
