0	Time [s]	Pressure sensor 19 (NormX) [MPa]	Pressure sensor 19 (NormY) [MPa]	Pressure sensor 19 (NormZ) [MPa]	Pressure sensor 19 (ShearXY) [MPa]	Pressure sensor 19 (ShearYZ) [MPa]	Pressure sensor 19 (ShearXZ) [MPa]	Pressure sensor 19 (Equivalent (von-Mises)) [MPa]	Pressure sensor 19 (Maximum Principal) [MPa]	Pressure sensor 19 (Middle Principal) [MPa]	Pressure sensor 19 (Minimum Principal) [MPa]	Pressure sensor 19 (Intensity) [MPa] 
1	1,6667e-002	-4,9002e-004	-4,907e-004	-5,1142e-004	5,4173e-007	1,6014e-004	1,8921e-004	4,2986e-004	-2,5248e-004	-4,9095e-004	-7,4871e-004	4,9623e-004 
2	3,3333e-002	-9,7576e-004	-9,7723e-004	-1,0192e-003	1,3491e-006	3,1495e-004	3,7663e-004	8,5145e-004	-5,0567e-004	-9,7795e-004	-1,4886e-003	9,8292e-004 
3	5,8333e-002	-1,6877e-003	-1,6905e-003	-1,765e-003	3,0094e-006	5,4146e-004	6,5323e-004	1,4715e-003	-8,7606e-004	-1,6923e-003	-2,5748e-003	1,6988e-003 
4	9,5833e-002	-2,7344e-003	-2,7396e-003	-2,8651e-003	6,5009e-006	8,7671e-004	1,0615e-003	2,3881e-003	-1,4192e-003	-2,7439e-003	-4,1761e-003	2,7568e-003 
5	0,15208	-4,2865e-003	-4,2964e-003	-4,5036e-003	1,3871e-005	1,3605e-003	1,6673e-003	3,7334e-003	-2,2353e-003	-4,306e-003	-6,5452e-003	4,3099e-003 
6	0,23646	-6,5552e-003	-6,5746e-003	-6,9154e-003	2,9556e-005	2,0679e-003	2,5653e-003	5,7181e-003	-3,4242e-003	-6,5958e-003	-1,0025e-002	6,601e-003 
7	0,32083	-8,7848e-003	-8,8159e-003	-9,3041e-003	5,0533e-005	2,7634e-003	3,4418e-003	7,6622e-003	-4,6032e-003	-8,853e-003	-1,3449e-002	8,8453e-003 
8	0,4474	-1,209e-002	-1,2145e-002	-1,2882e-002	9,2375e-005	3,7978e-003	4,7674e-003	1,0586e-002	-6,3416e-003	-1,2214e-002	-1,8562e-002	1,2221e-002 
9	0,61406	-1,6326e-002	-1,6419e-002	-1,7528e-002	1,6394e-004	5,1197e-003	6,455e-003	1,432e-002	-8,5995e-003	-1,6543e-002	-2,513e-002	1,6531e-002 
10	0,78073	-2,0492e-002	-2,0635e-002	-2,2168e-002	2,5474e-004	6,4175e-003	8,1324e-003	1,8021e-002	-1,0832e-002	-2,0828e-002	-3,1635e-002	2,0803e-002 
11	0,89036	-2,3194e-002	-2,3375e-002	-2,5216e-002	3,2516e-004	7,273e-003	9,2278e-003	2,045e-002	-1,2277e-002	-2,3622e-002	-3,5885e-002	2,3608e-002 
12	1,	-2,5862e-002	-2,6086e-002	-2,8256e-002	4,0361e-004	8,1203e-003	1,0318e-002	2,2867e-002	-1,3707e-002	-2,6393e-002	-4,0105e-002	2,6398e-002 
