0	Time [s]	Pressure sensor 10 (NormX) [MPa]	Pressure sensor 10 (NormY) [MPa]	Pressure sensor 10 (NormZ) [MPa]	Pressure sensor 10 (ShearXY) [MPa]	Pressure sensor 10 (ShearYZ) [MPa]	Pressure sensor 10 (ShearXZ) [MPa]	Pressure sensor 10 (Equivalent (von-Mises)) [MPa]	Pressure sensor 10 (Maximum Principal) [MPa]	Pressure sensor 10 (Middle Principal) [MPa]	Pressure sensor 10 (Minimum Principal) [MPa]	Pressure sensor 10 (Intensity) [MPa] 
1	1,6667e-002	-1,3684e-006	-1,3675e-006	-1,4195e-006	1,4524e-009	4,9111e-006	1,476e-006	8,8823e-006	3,7351e-006	-1,3691e-006	-6,5213e-006	1,0256e-005 
2	3,3333e-002	-2,7628e-006	-2,7606e-006	-2,8661e-006	3,0183e-009	9,9303e-006	2,9973e-006	1,7966e-005	7,5602e-006	-2,7643e-006	-1,3186e-005	2,0746e-005 
3	5,8333e-002	-4,8368e-006	-4,8325e-006	-5,0185e-006	5,5003e-009	1,7399e-005	5,2838e-006	3,1496e-005	1,326e-005	-4,8395e-006	-2,3108e-005	3,6369e-005 
4	9,5833e-002	-7,9511e-006	-7,9426e-006	-8,2516e-006	9,5519e-009	2,8622e-005	8,7475e-006	5,1839e-005	2,1834e-005	-7,9557e-006	-3,8024e-005	5,9858e-005 
5	0,15208	-1,2641e-005	-1,2624e-005	-1,3124e-005	1,6444e-008	4,5555e-005	1,4004e-005	8,255e-005	3,479e-005	-1,2649e-005	-6,053e-005	9,532e-005 
6	0,23646	-1,962e-005	-1,9585e-005	-2,0379e-005	2,8377e-008	7,0771e-005	2,1884e-005	1,2831e-004	5,4102e-005	-1,9633e-005	-9,4054e-005	1,4816e-004 
7	0,32083	-2,6583e-005	-2,6526e-005	-2,7626e-005	4,2356e-008	9,5986e-005	2,9796e-005	1,7408e-004	7,3439e-005	-2,6602e-005	-1,2757e-004	2,0101e-004 
8	0,4474	-3,6922e-005	-3,682e-005	-3,8399e-005	6,682e-008	1,3343e-004	4,1551e-005	2,4207e-004	1,0216e-004	-3,6951e-005	-1,7735e-004	2,7951e-004 
9	0,61406	-5,0555e-005	-5,0376e-005	-5,2632e-005	1,0614e-007	1,8296e-004	5,7221e-005	3,3203e-004	1,4022e-004	-5,06e-005	-2,4318e-004	3,834e-004 
10	0,78073	-6,4067e-005	-6,3788e-005	-6,6766e-005	1,528e-007	2,3206e-004	7,2732e-005	4,2123e-004	1,7795e-004	-6,4129e-005	-3,0844e-004	4,8639e-004 
11	0,89036	-7,2934e-005	-7,2579e-005	-7,6058e-005	1,8753e-007	2,6433e-004	8,2833e-005	4,7979e-004	2,0273e-004	-7,301e-005	-3,5129e-004	5,5402e-004 
12	1,	-8,1743e-005	-8,1303e-005	-8,5301e-005	2,2548e-007	2,9642e-004	9,2999e-005	5,3811e-004	2,2742e-004	-8,1833e-005	-3,9394e-004	6,2136e-004 
