0	Time [s]	Pressure sensor 3 (NormX) [MPa]	Pressure sensor 3 (NormY) [MPa]	Pressure sensor 3 (NormZ) [MPa]	Pressure sensor 3 (ShearXY) [MPa]	Pressure sensor 3 (ShearYZ) [MPa]	Pressure sensor 3 (ShearXZ) [MPa]	Pressure sensor 3 (Equivalent (von-Mises)) [MPa]	Pressure sensor 3 (Maximum Principal) [MPa]	Pressure sensor 3 (Middle Principal) [MPa]	Pressure sensor 3 (Minimum Principal) [MPa]	Pressure sensor 3 (Intensity) [MPa] 
1	1,6667e-002	-7,2479e-007	-7,2606e-007	-7,5337e-007	1,2319e-010	2,8433e-006	-1,4302e-007	4,9311e-006	2,1072e-006	-7,2478e-007	-3,5867e-006	5,6939e-006 
2	3,3333e-002	-1,466e-006	-1,4685e-006	-1,5239e-006	2,4391e-010	5,7541e-006	-2,9116e-007	9,9793e-006	4,2653e-006	-1,466e-006	-7,2577e-006	1,1523e-005 
3	5,8333e-002	-2,5722e-006	-2,5764e-006	-2,6741e-006	4,15e-010	1,0097e-005	-5,1022e-007	1,7512e-005	7,4851e-006	-2,5722e-006	-1,2736e-005	2,0221e-005 
4	9,5833e-002	-4,245e-006	-4,2513e-006	-4,4136e-006	6,5378e-010	1,6666e-005	-8,3573e-007	2,8902e-005	1,2354e-005	-4,245e-006	-2,1019e-005	3,3374e-005 
5	0,15208	-6,7575e-006	-6,7663e-006	-7,0273e-006	9,7026e-010	2,6535e-005	-1,3423e-006	4,602e-005	1,9672e-005	-6,7574e-006	-3,3466e-005	5,3139e-005 
6	0,23646	-1,0521e-005	-1,0532e-005	-1,0945e-005	1,3467e-009	4,1306e-005	-2,1001e-006	7,1638e-005	3,0622e-005	-1,0521e-005	-5,2098e-005	8,272e-005 
7	0,32083	-1,4276e-005	-1,4286e-005	-1,4854e-005	1,6053e-009	5,6037e-005	-2,8759e-006	9,7189e-005	4,1541e-005	-1,4276e-005	-7,0682e-005	1,1222e-004 
8	0,4474	-1,9848e-005	-1,9854e-005	-2,0661e-005	1,7823e-009	7,7887e-005	-4,0338e-006	1,3509e-004	5,7735e-005	-1,9848e-005	-9,825e-005	1,5599e-004 
9	0,61406	-2,722e-005	-2,7212e-005	-2,8351e-005	1,6077e-009	1,0679e-004	-5,5997e-006	1,8522e-004	7,9153e-005	-2,722e-005	-1,3472e-004	2,1387e-004 
10	0,78073	-3,4512e-005	-3,4483e-005	-3,5965e-005	9,8831e-010	1,3536e-004	-7,174e-006	2,3479e-004	1,0033e-004	-3,4511e-005	-1,7078e-004	2,7111e-004 
11	0,89036	-3,9291e-005	-3,9243e-005	-4,096e-005	3,1712e-010	1,5404e-004	-8,2362e-006	2,6719e-004	1,1416e-004	-3,9291e-005	-1,9436e-004	3,0852e-004 
12	1,	-4,4056e-005	-4,3986e-005	-4,5943e-005	-5,3948e-010	1,727e-004	-9,2906e-006	2,9957e-004	1,2799e-004	-4,4055e-005	-2,1792e-004	3,4591e-004 
