0	Time [s]	Pressure sensor 13 (NormX) [MPa]	Pressure sensor 13 (NormY) [MPa]	Pressure sensor 13 (NormZ) [MPa]	Pressure sensor 13 (ShearXY) [MPa]	Pressure sensor 13 (ShearYZ) [MPa]	Pressure sensor 13 (ShearXZ) [MPa]	Pressure sensor 13 (Equivalent (von-Mises)) [MPa]	Pressure sensor 13 (Maximum Principal) [MPa]	Pressure sensor 13 (Middle Principal) [MPa]	Pressure sensor 13 (Minimum Principal) [MPa]	Pressure sensor 13 (Intensity) [MPa] 
1	1,6667e-002	-1,7119e-004	-1,7088e-004	-1,7855e-004	8,5055e-008	6,578e-005	1,5309e-005	1,1722e-004	-1,0705e-004	-1,7121e-004	-2,4235e-004	1,3529e-004 
2	3,3333e-002	-3,484e-004	-3,4772e-004	-3,6342e-004	1,8209e-007	1,3393e-004	2,9885e-005	2,3818e-004	-2,181e-004	-3,4845e-004	-4,93e-004	2,749e-004 
3	5,8333e-002	-6,1043e-004	-6,0914e-004	-6,3687e-004	3,4432e-007	2,3481e-004	5,0686e-005	4,1694e-004	-3,8235e-004	-6,1052e-004	-8,6358e-004	4,8123e-004 
4	9,5833e-002	-1,0115e-003	-1,0091e-003	-1,0556e-003	6,3152e-007	3,8831e-004	8,45e-005	6,8981e-004	-6,3417e-004	-1,0116e-003	-1,4303e-003	7,9616e-004 
5	0,15208	-1,6107e-003	-1,6063e-003	-1,6816e-003	1,1496e-006	6,1676e-004	1,3601e-004	1,0964e-003	-1,0111e-003	-1,611e-003	-2,2765e-003	1,2654e-003 
6	0,23646	-2,505e-003	-2,4966e-003	-2,617e-003	2,1185e-006	9,5899e-004	2,0981e-004	1,7043e-003	-1,573e-003	-2,5055e-003	-3,5401e-003	1,9671e-003 
7	0,36302	-3,8677e-003	-3,8515e-003	-4,0445e-003	4,0387e-006	1,4767e-003	3,2304e-004	2,6247e-003	-2,4328e-003	-3,8687e-003	-5,4622e-003	3,0294e-003 
8	0,52969	-5,6408e-003	-5,6109e-003	-5,9059e-003	7,3375e-006	2,1505e-003	4,6939e-004	3,8228e-003	-3,5514e-003	-5,6425e-003	-7,9636e-003	4,4122e-003 
9	0,69635	-7,4311e-003	-7,3832e-003	-7,7899e-003	1,1594e-005	2,8293e-003	6,1699e-004	5,0304e-003	-4,6823e-003	-7,4337e-003	-1,0488e-002	5,806e-003 
10	0,86302	-9,2035e-003	-9,134e-003	-9,6599e-003	1,6752e-005	3,5042e-003	7,6457e-004	6,232e-003	-5,7986e-003	-9,2074e-003	-1,2991e-002	7,1928e-003 
11	1,	-1,066e-002	-1,0569e-002	-1,12e-002	2,1631e-005	4,0562e-003	8,8363e-004	7,2146e-003	-6,7186e-003	-1,0665e-002	-1,5045e-002	8,3269e-003 
