0	Time [s]	Pressure sensor 10 (NormX) [MPa]	Pressure sensor 10 (NormY) [MPa]	Pressure sensor 10 (NormZ) [MPa]	Pressure sensor 10 (ShearXY) [MPa]	Pressure sensor 10 (ShearYZ) [MPa]	Pressure sensor 10 (ShearXZ) [MPa]	Pressure sensor 10 (Equivalent (von-Mises)) [MPa]	Pressure sensor 10 (Maximum Principal) [MPa]	Pressure sensor 10 (Middle Principal) [MPa]	Pressure sensor 10 (Minimum Principal) [MPa]	Pressure sensor 10 (Intensity) [MPa] 
1	1,6667e-002	-1,0469e-006	-1,0765e-006	-1,0589e-006	2,3388e-008	2,2096e-005	1,3079e-005	4,4473e-005	2,4623e-005	-1,0751e-006	-2,673e-005	5,1353e-005 
2	3,3333e-002	-2,1583e-006	-2,2159e-006	-2,1924e-006	5,0931e-008	4,5271e-005	2,6808e-005	9,1129e-005	5,0439e-005	-2,2179e-006	-5,4788e-005	1,0523e-004 
3	5,8333e-002	-3,7181e-006	-3,8114e-006	-3,7979e-006	9,7848e-008	7,9759e-005	4,7381e-005	1,6068e-004	8,9022e-005	-3,8283e-006	-9,6521e-005	1,8554e-004 
4	9,5833e-002	-5,9897e-006	-6,1223e-006	-6,1725e-006	1,8111e-007	1,3131e-004	7,8309e-005	2,6482e-004	1,4684e-004	-6,1838e-006	-1,5894e-004	3,0578e-004 
5	0,15208	-9,5209e-006	-9,6823e-006	-9,9491e-006	3,3572e-007	2,0881e-004	1,2496e-004	4,2148e-004	2,337e-004	-9,8593e-006	-2,5299e-004	4,8669e-004 
6	0,23646	-1,4355e-005	-1,4493e-005	-1,5322e-005	6,34e-007	3,2475e-004	1,9469e-004	6,5582e-004	3,6403e-004	-1,4951e-005	-3,9325e-004	7,5728e-004 
7	0,36302	-2,0922e-005	-2,0875e-005	-2,3099e-005	1,2326e-006	4,9825e-004	3,0033e-004	1,0077e-003	5,6033e-004	-2,1999e-005	-6,0322e-004	1,1635e-003 
8	0,52969	-2,9932e-005	-2,9365e-005	-3,4511e-005	2,2926e-006	7,2665e-004	4,3946e-004	1,4709e-003	8,1821e-004	-3,1811e-005	-8,8021e-004	1,6984e-003 
9	0,69635	-3,6224e-005	-3,4851e-005	-4,3945e-005	3,6516e-006	9,5162e-004	5,7759e-004	1,9281e-003	1,0752e-003	-3,9094e-005	-1,1512e-003	2,2264e-003 
10	0,86302	-4,3429e-005	-4,0936e-005	-5,5244e-005	5,3258e-006	1,1784e-003	7,1674e-004	2,3891e-003	1,3333e-003	-4,7485e-005	-1,4254e-003	2,7587e-003 
11	1,	-4,8041e-005	-4,4418e-005	-6,3783e-005	6,9167e-006	1,3626e-003	8,2996e-004	2,7636e-003	1,544e-003	-5,3206e-005	-1,6471e-003	3,1911e-003 
