0	Time [s]	Pressure sensor 2 (NormX) [MPa]	Pressure sensor 2 (NormY) [MPa]	Pressure sensor 2 (NormZ) [MPa]	Pressure sensor 2 (ShearXY) [MPa]	Pressure sensor 2 (ShearYZ) [MPa]	Pressure sensor 2 (ShearXZ) [MPa]	Pressure sensor 2 (Equivalent (von-Mises)) [MPa]	Pressure sensor 2 (Maximum Principal) [MPa]	Pressure sensor 2 (Middle Principal) [MPa]	Pressure sensor 2 (Minimum Principal) [MPa]	Pressure sensor 2 (Intensity) [MPa] 
1	1,6667e-002	-4,0886e-005	-4,0946e-005	-4,2263e-005	2,7684e-008	1,9266e-005	5,0606e-005	9,38e-005	1,2585e-005	-4,0957e-005	-9,5723e-005	1,0831e-004 
2	3,3333e-002	-8,1008e-005	-8,1131e-005	-8,3802e-005	5,205e-008	4,1774e-005	1,0036e-004	1,883e-004	2,6317e-005	-8,115e-005	-1,9111e-004	2,1742e-004 
3	5,8333e-002	-1,3858e-004	-1,3881e-004	-1,435e-004	1,0136e-007	7,6744e-005	1,7149e-004	3,2545e-004	4,6876e-005	-1,3885e-004	-3,2891e-004	3,7579e-004 
4	9,5833e-002	-2,2423e-004	-2,2467e-004	-2,3253e-004	2,1289e-007	1,2883e-004	2,7694e-004	5,291e-004	7,7134e-005	-2,2476e-004	-5,3381e-004	6,1094e-004 
5	0,15208	-3,5212e-004	-3,5299e-004	-3,6595e-004	4,6708e-007	2,1239e-004	4,3477e-004	8,382e-004	1,2499e-004	-3,5319e-004	-8,4286e-004	9,6785e-004 
6	0,23646	-5,3952e-004	-5,4125e-004	-5,6244e-004	1,0561e-006	3,3581e-004	6,6551e-004	1,2913e-003	1,9479e-004	-5,4175e-004	-1,2963e-003	1,491e-003 
7	0,36302	-8,1924e-004	-8,2281e-004	-8,5796e-004	2,4424e-006	5,2768e-004	1,0101e-003	1,9742e-003	3,0182e-004	-8,2405e-004	-1,9778e-003	2,2796e-003 
8	0,52969	-1,1823e-003	-1,1892e-003	-1,2454e-003	5,1496e-006	7,7708e-004	1,4571e-003	2,8609e-003	4,3919e-004	-1,192e-003	-2,8642e-003	3,3034e-003 
9	0,69635	-1,5412e-003	-1,5525e-003	-1,6328e-003	8,9013e-006	1,0313e-003	1,8983e-003	3,7428e-003	5,7633e-004	-1,5574e-003	-3,7454e-003	4,3217e-003 
10	0,86302	-1,8958e-003	-1,9125e-003	-2,0198e-003	1,367e-005	1,2851e-003	2,335e-003	4,618e-003	7,1213e-004	-1,9202e-003	-4,6201e-003	5,3322e-003 
11	1,	-2,1854e-003	-2,2073e-003	-2,339e-003	1,832e-005	1,4912e-003	2,6913e-003	5,3313e-003	8,2095e-004	-2,2177e-003	-5,3349e-003	6,1559e-003 
