0	Time [s]	Pressure sensor 42 (NormX) [MPa]	Pressure sensor 42 (NormY) [MPa]	Pressure sensor 42 (NormZ) [MPa]	Pressure sensor 42 (ShearXY) [MPa]	Pressure sensor 42 (ShearYZ) [MPa]	Pressure sensor 42 (ShearXZ) [MPa]	Pressure sensor 42 (Equivalent (von-Mises)) [MPa]	Pressure sensor 42 (Maximum Principal) [MPa]	Pressure sensor 42 (Middle Principal) [MPa]	Pressure sensor 42 (Minimum Principal) [MPa]	Pressure sensor 42 (Intensity) [MPa] 
1	5,8333e-003	2,815e-007	2,6305e-007	3,1598e-007	-1,4032e-009	-8,2674e-006	-1,4597e-006	1,4541e-005	8,6848e-006	2,8143e-007	-8,1057e-006	1,6791e-005 
2	1,1667e-002	6,3268e-007	5,9391e-007	7,0679e-007	-2,8425e-009	-1,7651e-005	-3,0888e-006	3,1037e-005	1,857e-005	6,3249e-007	-1,7269e-005	3,5839e-005 
3	2,0417e-002	1,1371e-006	1,0712e-006	1,2658e-006	-4,6883e-009	-3,0759e-005	-5,3696e-006	5,4082e-005	3,2393e-005	1,1367e-006	-3,0055e-005	6,2448e-005 
4	3,3542e-002	1,9018e-006	1,7985e-006	2,1093e-006	-6,7981e-009	-5,0453e-005	-8,8202e-006	8,8713e-005	5,3172e-005	1,901e-006	-4,9264e-005	1,0244e-004 
5	5,3229e-002	3,0592e-006	2,9064e-006	3,378e-006	-8,812e-009	-8,0112e-005	-1,4012e-005	1,4087e-004	8,4471e-005	3,0576e-006	-7,8185e-005	1,6266e-004 
6	8,276e-002	4,8751e-006	4,6644e-006	5,3463e-006	-8,8969e-009	-1,2422e-004	-2,1692e-005	2,1841e-004	1,311e-004	4,8719e-006	-1,2109e-004	2,5219e-004 
7	0,12706	7,7079e-006	7,4463e-006	8,3731e-006	-2,6221e-009	-1,9001e-004	-3,3203e-005	3,341e-004	2,008e-004	7,701e-006	-1,8498e-004	3,8578e-004 
8	0,1935	1,2069e-005	1,181e-005	1,2944e-005	2,0582e-008	-2,8931e-004	-5,0538e-005	5,0869e-004	3,0607e-004	1,2055e-005	-2,8131e-004	5,8738e-004 
9	0,29317	1,9421e-005	1,9336e-005	2,0456e-005	8,5785e-008	-4,3394e-004	-7,5828e-005	7,63e-004	4,6043e-004	1,9389e-005	-4,206e-004	8,8103e-004 
10	0,44267	3,1672e-005	3,2226e-005	3,2588e-005	2,5109e-007	-6,495e-004	-1,1352e-004	1,142e-003	6,9179e-004	3,1603e-005	-6,2691e-004	1,3187e-003 
11	0,59217	4,454e-005	4,6174e-005	4,4876e-005	4,9408e-007	-8,6334e-004	-1,5092e-004	1,518e-003	9,2201e-004	4,4421e-005	-8,3084e-004	1,7529e-003 
12	0,75884	5,934e-005	6,2682e-005	5,8499e-005	8,5374e-007	-1,0984e-003	-1,9204e-004	1,9314e-003	1,1758e-003	5,915e-005	-1,0544e-003	2,2302e-003 
13	0,92551	7,4892e-005	8,0454e-005	7,234e-005	1,3053e-006	-1,3308e-003	-2,3281e-004	2,3401e-003	1,4276e-003	7,4614e-005	-1,2745e-003	2,7021e-003 
14	1,	8,1982e-005	8,8703e-005	7,8488e-005	1,5363e-006	-1,4343e-003	-2,5094e-004	2,5221e-003	1,5399e-003	8,166e-005	-1,3724e-003	2,9122e-003 
