0.000000000000000000e+00,1.666600000000000026e-02,4.166600000000000165e-02,7.916600000000000026e-02,1.354130000000000056e-01,2.197930000000000161e-01,3.463530000000000220e-01,5.130230000000000068e-01,6.796830000000000371e-01,8.463530000000000220e-01,9.833330000000000126e-01
2.076200000000000045e+01,4.078199999999999648e+01,7.061899999999999977e+01,1.205799999999999983e+02,1.923299999999999841e+02,2.968899999999999864e+02,4.502900000000000205e+02,6.566999999999999318e+02,8.590800000000000409e+02,1.058200000000000045e+03,1.220799999999999955e+03
8.689199999999999591e+01,1.756100000000000136e+02,3.117500000000000000e+02,5.303499999999999091e+02,8.517100000000000364e+02,1.331000000000000000e+03,2.052399999999999636e+03,3.019000000000000000e+03,4.002199999999999818e+03,4.979699999999999818e+03,5.777899999999999636e+03
4.139000000000000057e+01,8.738299999999999557e+01,1.622999999999999829e+02,2.752500000000000000e+02,4.499600000000000364e+02,7.217700000000000955e+02,1.153500000000000000e+03,1.731099999999999909e+03,2.356000000000000000e+03,2.982600000000000364e+03,3.502799999999999727e+03
4.073399999999999466e+00,8.809699999999999420e+00,1.689400000000000190e+01,2.851800000000000068e+01,4.749399999999999977e+01,7.763900000000001000e+01,1.272699999999999960e+02,1.935499999999999829e+02,2.673999999999999773e+02,3.420600000000000023e+02,4.052699999999999818e+02
1.615399999999999947e+00,3.189200000000000035e+00,5.485500000000000043e+00,8.932199999999999918e+00,1.413599999999999923e+01,2.163599999999999923e+01,3.263599999999999568e+01,4.686399999999999721e+01,6.017600000000000193e+01,7.344299999999999784e+01,8.437600000000000477e+01
1.178900000000000006e+02,2.342199999999999989e+02,4.046599999999999682e+02,6.714099999999999682e+02,1.070700000000000045e+03,1.656600000000000136e+03,2.533900000000000091e+03,3.694199999999999818e+03,4.845199999999999818e+03,5.987799999999999272e+03,6.931199999999999818e+03
2.197199999999999989e+02,4.374200000000000159e+02,7.604499999999999318e+02,1.282900000000000091e+03,2.062800000000000182e+03,3.202299999999999727e+03,4.882400000000000546e+03,7.148899999999999636e+03,9.407500000000000000e+03,1.164400000000000000e+04,1.346800000000000000e+04
6.042600000000000193e+01,1.256400000000000006e+02,2.280699999999999932e+02,3.867200000000000273e+02,6.290100000000001046e+02,9.980000000000000000e+02,1.568699999999999818e+03,2.340300000000000182e+03,3.142500000000000000e+03,3.954199999999999818e+03,4.616099999999999454e+03
2.284499999999999975e+00,5.078000000000000291e+00,9.922700000000000742e+00,1.681700000000000017e+01,2.820800000000000196e+01,4.628200000000000358e+01,7.624800000000000466e+01,1.165899999999999892e+02,1.597199999999999989e+02,2.049000000000000057e+02,2.420999999999999943e+02
