0	Time [s]	Pressure sensor 23 (NormX) [MPa]	Pressure sensor 23 (NormY) [MPa]	Pressure sensor 23 (NormZ) [MPa]	Pressure sensor 23 (ShearXY) [MPa]	Pressure sensor 23 (ShearYZ) [MPa]	Pressure sensor 23 (ShearXZ) [MPa]	Pressure sensor 23 (Equivalent (von-Mises)) [MPa]	Pressure sensor 23 (Maximum Principal) [MPa]	Pressure sensor 23 (Middle Principal) [MPa]	Pressure sensor 23 (Minimum Principal) [MPa]	Pressure sensor 23 (Intensity) [MPa] 
1	1,6667e-002	-4,7012e-005	-4,6984e-005	-4,8947e-005	3,7866e-009	5,269e-006	9,1499e-005	1,5876e-004	4,3677e-005	-4,6985e-005	-1,3963e-004	1,8331e-004 
2	3,3333e-002	-9,6281e-005	-9,6309e-005	-1,0041e-004	1,1883e-008	9,4377e-006	1,8471e-004	3,2036e-004	8,6612e-005	-9,631e-005	-2,833e-004	3,6992e-004 
3	5,8333e-002	-1,7629e-004	-1,7656e-004	-1,843e-004	2,5156e-008	1,093e-005	3,2714e-004	5,6699e-004	1,4705e-004	-1,7656e-004	-5,0763e-004	6,5469e-004 
4	9,5833e-002	-2,9549e-004	-2,9649e-004	-3,1001e-004	4,661e-008	1,1706e-005	5,3828e-004	9,3265e-004	2,357e-004	-2,965e-004	-8,412e-004	1,0769e-003 
5	0,15208	-4,8896e-004	-4,9192e-004	-5,1559e-004	4,8546e-008	3,411e-006	8,6328e-004	1,4955e-003	3,6112e-004	-4,9192e-004	-1,3657e-003	1,7268e-003 
6	0,23646	-7,8471e-004	-7,9249e-004	-8,3361e-004	-4,1142e-008	-1,7362e-005	1,3504e-003	2,3397e-003	5,4161e-004	-7,9249e-004	-2,1599e-003	2,7016e-003 
7	0,36302	-1,2361e-003	-1,2554e-003	-1,3275e-003	-4,3592e-007	-5,849e-005	2,0817e-003	3,608e-003	8,0123e-004	-1,2554e-003	-3,3648e-003	4,1661e-003 
8	0,52969	-1,876e-003	-1,9186e-003	-2,0421e-003	-2,0269e-006	-1,5803e-004	3,0633e-003	5,3149e-003	1,1095e-003	-1,9187e-003	-5,0275e-003	6,137e-003 
9	0,69635	-2,5218e-003	-2,5969e-003	-2,7818e-003	-4,5622e-006	-2,6024e-004	4,0447e-003	7,024e-003	1,4035e-003	-2,5972e-003	-6,7068e-003	8,1104e-003 
10	0,86302	-3,1717e-003	-3,2884e-003	-3,5446e-003	-8,3132e-006	-3,7492e-004	5,0256e-003	8,7351e-003	1,6852e-003	-3,289e-003	-8,4009e-003	1,0086e-002 
11	1,	-3,6981e-003	-3,8556e-003	-4,1774e-003	-1,2136e-005	-4,6799e-004	5,8302e-003	1,014e-002	1,9165e-003	-3,8566e-003	-9,7912e-003	1,1708e-002 
